"","epci","commune","numero_d_immatriculation","date_d_immatriculation","date_de_la_derniere_maj","type_de_syndic_benevole_professionnel_non_connu","identification_du_representant_legal_raison_sociale_et_le_numer","raison_sociale_du_representant_legal","siret_du_representant_legal","code_ape","commune_du_representant_legal","mandat_en_cours_dans_la_copropriete","date_de_fin_du_dernier_mandat","nom_d_usage_de_la_copropriete","adresse_de_reference","numero_et_voie_adresse_de_reference","code_postal_adresse_de_reference","commune_adresse_de_reference","adresse_complementaire_1","adresse_complementaire_2","adresse_complementaire_3","nombre_d_adresses_complementaires","long","lat","date_du_reglement_de_copropriete","residence_service","syndicat_cooperatif","syndicat_principal_ou_syndicat_secondaire","si_secondaire_n_d_immatriculation_du_principal","nombre_d_asl_auxquelles_est_rattache_le_syndicat_de_coproprieta","nombre_d_aful_auxquelles_est_rattache_le_syndicat_de_copropriet","nombre_d_unions_de_syndicats_auxquelles_est_rattache_le_syndica","nombre_total_de_lots","nombre_total_de_lots_a_usage_d_habitation_de_bureaux_ou_de_comm","nombre_de_lots_a_usage_d_habitation","nombre_de_lots_de_stationnement","periode_de_construction","reference_cadastrale_1","code_insee_commune_1","prefixe_1","section_1","numero_parcelle_1","reference_cadastrale_2","code_insee_commune_2","prefixe_2","section_2","numero_parcelle_2","reference_cadastrale_3","code_insee_commune_3","prefixe_3","section_3","numero_parcelle_3","nombre_de_parcelles_cadastrales","nom_qp_2015","code_qp_2015","nom_qp_2024","code_qp_2024","copro_dans_acv","copro_dans_pvd","code_de_pdp","copro_dans_pdp","copro_aidee","code_officiel_commune","nom_officiel_commune","code_officiel_arrondissement_commune","nom_officiel_arrondissement_commune","code_officiel_epci","nom_officiel_epci","code_officiel_departement","nom_officiel_departement","code_officiel_region","nom_officiel_region"
"35755",200057875,"93010","AA5345947","2017-06-14","2025-08-23","professionnel","FONCIA MANAGO 30265417300020","FONCIA MANAGO ","30265417300020","6832A","EZANVILLE","Mandat en cours","2026-09-30","LE VICTORIA","3-5 r jean jaures 93140 Bondy","3-5 r jean jaures",93140,"Bondy","non connu","non connu","non connu",0,2.477858,48.903314,"1998-12-28","non","non","oui","non connu",0,0,0,93,46,46,32,"DE_1994_A_2000","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"36425",200057875,"93010","AA5432562","2017-06-15","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-06-26","THEODORE MONOD 1/7","1 r theodore monod 93140 Bondy","1 r theodore monod",93140,"Bondy","7 r theodore monod 93140 Bondy","non connu","non connu",1,2.487794,48.893778,"2004-04-01","non","non","oui","non connu",0,0,0,55,27,27,26,"DE_2001_A_2010","93010000AR0179","93010","000","AR","0179","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"40001",200057875,"93010","AA5892427","2017-06-27","2025-08-23","professionnel","SOCIETE DE GERANCE RICHELIEU 60205776200034","SOCIETE DE GERANCE RICHELIEU ","60205776200034","6832A","LE RAINCY","Mandat en cours","2027-03-25","SDC Les Eglantiers","3 r de varsovie 93140 Bondy","3 r de varsovie",93140,"Bondy","5 r de varsovie 93140 Bondy","non connu","non connu",1,2.478903,48.893649,"1964-12-14","non","non","oui","non connu",0,0,0,216,72,72,72,"DE_1961_A_1974","93010000AU0163","93010","000","AU","0163","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"40019",200057875,"93010","AA5895230","2017-06-28","2025-08-23","professionnel","SOCIETE DE GERANCE RICHELIEU 60205776200034","SOCIETE DE GERANCE RICHELIEU ","60205776200034","6832A","LE RAINCY","Mandat en cours","2026-04-24","SDC Simfrance","96 av anatole france 93140 Bondy","96 av anatole france",93140,"Bondy","98 av anatole france 93140 Bondy","79 rte de villemomble 93140 Bondy","non connu",2,2.495685,48.889964,"1961-09-25","non","non","oui","non connu",0,0,0,122,51,47,20,"DE_1961_A_1974","93010000AZ0269","93010","000","AZ","0269","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"49114",200057875,"93010","AA7025224","2017-07-20","2025-08-23","professionnel","FONCIA CHADEFAUX LECOQ 59202763500032","FONCIA CHADEFAUX LECOQ ","59202763500032","6831Z","AUBERVILLIERS","Mandat en cours","2026-09-30","38/40 RUE ETIENNE DOLET","38-40 r etienne dolet 93140 BONDY","38-40 r etienne dolet",93140,"BONDY","non connu","non connu","non connu",0,2.477554,48.891161,"1972-10-26","non","non","oui","non connu",0,0,0,120,40,40,40,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Oui","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"50316",200057875,"93010","AA7170251","2017-07-21","2025-08-23","professionnel","SOCIETE DE GERANCE RICHELIEU 60205776200034","SOCIETE DE GERANCE RICHELIEU ","60205776200034","6832A","LE RAINCY","Mandat en cours","2027-06-24","SDC Bondy Belfort","57 av de belfort 93140 Bondy","57 av de belfort",93140,"Bondy","59 av de belfort 93140 Bondy","30 all de l'etoile 93140 Bondy","73 av de l'est 93140 Bondy",4,2.483625,48.890494,"1971-10-19","non","non","oui","non connu",0,0,0,177,59,59,59,"DE_1961_A_1974","93010000AX0179","93010","000","AX","0179","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"54303",200057875,"93010","AA7646623","2017-07-27","2025-11-08","professionnel","CABINET MASSON ET CIE 67201845400021","CABINET MASSON ET CIE ","67201845400021","6832A","PARIS","Mandat en cours","2026-06-28","LE REMBRANDT","22 r auguste polissard 93140 Bondy","22 r auguste polissard",93140,"Bondy","5 vla thorel, 93140 Bondy","non connu","non connu",1,2.480301,48.90396,"1996-02-08","non","non","oui","non connu",0,0,0,191,97,93,94,"DE_1994_A_2000","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"55067",200057875,"93010","AA7735806","2017-07-28","2026-01-03","non connu","non connu","non connu","non connu","non connu","non connu","Mandat expiré sans successeur déclaré","2025-12-31","JARDINS DE JORELLE","all joachim du bellay, 93140 Bondy","all joachim du bellay,",93140,"Bondy","ALLEE CHARLES MAGNE 93140 BONDY","all corneille, 93140 Bondy","non connu",2,2.49234,48.896192,"2006-01-24","non","non","oui","non connu",0,0,0,61,61,61,0,"DE_1975_A_1993","93010000AN0132","93010","000","AN","0132","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"55377",200057875,"93010","AA7771447","2017-07-28","2025-12-06","professionnel","FONCIA LACOMBE VAUCELLES 30497072600044","FONCIA LACOMBE VAUCELLES ","30497072600044","6832A","SAINT GRATIEN","Mandat en cours","2027-09-30","11 AVENUE PASTEUR","11 av pasteur 93140 BONDY","11 av pasteur",93140,"BONDY","11 av pasteur 93140 BONDY","non connu","non connu",1,2.484164,48.90385,"1963-12-13","non","non","oui","non connu",0,0,0,27,17,10,7,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"55394",200057875,"93010","AA7773591","2017-07-28","2025-12-06","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-09-30","LES TERRASSES DE BONDY","60 r louis auguste blanqui 93140 Bondy","60 r louis auguste blanqui",93140,"Bondy","non connu","non connu","non connu",0,2.483386,48.898831,"1990-02-15","non","non","oui","non connu",0,0,0,23,14,12,7,"DE_1975_A_1993","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"Blanqui","QP093012","Blanqui","QN09312I","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"56690",200057875,"93010","AA7926975","2017-08-01","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2023-09-30","RESIDENCE HAUDRICOURT","58-60 r roger salengro 93140 Bondy","58-60 r roger salengro",93140,"Bondy","58-60 r roger salengro 93140 Bondy","58-60 r roger salengro 93140 Bondy","non connu",2,2.47855,48.900196,"1969-01-16","non","non","oui","non connu",0,0,0,121,41,38,0,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"57209",200057875,"93010","AA7986862","2017-08-02","2025-08-23","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2026-07-31","SDC 16-20 RUE E. VAILLANT","20 Rue Edouard Vaillant 93140 Bondy","20 Rue Edouard Vaillant",93140,"Bondy","20 r edouard vaillant 93140 Bondy","18 r edouard vaillant 93140 Bondy","non connu",0,2.479515,48.896251,"1976-03-25","non","non","oui","",0,0,0,161,48,48,56,"DE_1975_A_1993","93010000AD0066","93010","000","AD","0066","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"58756",200057875,"93010","AA8170078","2017-08-03","2025-08-23","professionnel","GCI LE PRE 84463672000014","GCI LE PRE ","84463672000014","6831Z","LE PRE SAINT GERVAIS","Mandat en cours","2026-03-15","SDC LE COEUR VILLE","7 pl arthur rimbaud 93140 Bondy","7 pl arthur rimbaud",93140,"Bondy","6 r arthur rimbaud 93140 Bondy","non connu","non connu",1,2.478878,48.904913,"1991-12-23","non","non","oui","non connu",0,0,0,135,65,65,70,"DE_1975_A_1993","930100000J0236","93010","000","0J","0236","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"59355",200057875,"93010","AA8239717","2017-08-04","2025-08-23","professionnel","TULIER*FLORENCE/ 44243601000049","TULIER*FLORENCE/ ","44243601000049","6910Z","EVRY","Mandat en cours","2026-01-22","134 RUE LOUIS AUGUSTE BLANQUI","134 r louis auguste blanqui 93140 Bondy","134 r louis auguste blanqui",93140,"Bondy","non connu","non connu","non connu",0,2.489802,48.89806,"1965-05-04","non","non","oui","non connu",0,0,0,15,7,7,0,"AVANT_1949","93010000AM0065","93010","000","AM","0065","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Blanqui","QP093012","Blanqui","QN09312I","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"63723",200057875,"93010","AA8752032","2017-08-11","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-06-30","SDC 23 rue Rouget de Lisle","23 av rouget de lisle 93140 Bondy","23 av rouget de lisle",93140,"Bondy","non connu","non connu","non connu",0,2.484944,48.896755,"1988-09-26","non","oui","oui","non connu",0,0,0,26,8,8,11,"DE_1975_A_1993","93010000AL0072","93010","000","AL","0072","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"63863",200057875,"93010","AA8770687","2017-08-11","2025-11-29","professionnel","CABINET CADOT-BEAUPLET 32841300000030","CABINET CADOT-BEAUPLET ","32841300000030","6832A","LES LILAS","Mandat en cours","2027-11-14","LES HORTENSIAS","35 av du marechal de lattre de tassigny 93140 Bondy","35 av du marechal de lattre de tassigny",93140,"Bondy","non connu","non connu","non connu",0,2.48342,48.904364,"1970-02-01","non","non","oui","non connu",0,0,0,28,12,10,15,"DE_1961_A_1974","930100000O0058","93010","000","0O","0058","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"74007",200057875,"93010","AA9996315","2017-08-30","2025-08-23","professionnel","FONCIA CHADEFAUX LECOQ 59202763500032","FONCIA CHADEFAUX LECOQ ","59202763500032","6831Z","AUBERVILLIERS","Mandat en cours","2026-09-30","RESIDENCE VERLAINE","9T r jean jaures 93140 BONDY","9T r jean jaures",93140,"BONDY","non connu","non connu","non connu",0,2.478205,48.90268,"2005-02-18","non","non","oui","non connu",0,0,0,192,58,58,37,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"76006",200057875,"93010","AB0245399","2017-08-31","2025-11-08","professionnel","ANIC DIOT ET COMPAGNIE 57820239200010","ANIC DIOT ET COMPAGNIE ","57820239200010","6832A","GAGNY","Mandat en cours","2026-06-30","SDC 25 ROGER SALENGRO","25 r roger salengro 93140 Bondy","25 r roger salengro",93140,"Bondy","non connu","non connu","non connu",0,2.478688,48.900629,"1964-09-16","non","non","oui","non connu",0,0,0,57,20,20,16,"NON_CONNUE","93010000AD0002","93010","000","AD","0002","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
