"","référence","date de la demande","année du dépôt","NOM","Adresse du demandeur","n°de l'adresse du chantier","adresse du chantier","section cadastrale","n° parcelle","surface du terrain en m²","nature des travaux envisagés","date de la décision autorisation","date de décision refus","Tél auteur du projet","Dates d'affichage             en mairie"
"48","10B0010","40427",2010,"MOXI Sarl","157 Boulevard Magenta 75009 Paris","10","Gatine (Rue )","I","75",,"Aménagement d'une boutique","28/03/2011",,,
"49","10B0011","40458",2010,"DECOPLUS SARL","46 RUE DU FAUBOURG DU TEMPLE 75011 PARIS","186","Galliéni (Avenue )","N","1","511m²","Modification des façades","40553",,,
"50","10B0012","40501",2010,"AP-HP CHU Hôpital Jean VERDIER : M. VERRIELE","Avenue du Quatorze Juillet",,"Quatorze  Juillet Avenue du","E                L","86            130","31255m²","Réhabilitation du poste cental  de sécurité","40578",,,
"51","10B0013","40527",2010,"Mairie de Bondy : M. ROGER","Esplanade Claude FUZIER 93143 Bondy cedex","2","François Collet (rue)","AN","1","3938m²","Création de deux classes  sous le préau","40687",,,
"52","11B0001","40548",2011,"Etablissement DARTY & FILS","129 avenue Galliéni 93140 BONDY","143-155","Galliéni (Avenue )","K","117","10209m²","Mise en conformité des parkings et accès magasin+Réaménagement de la surface de vente","40623",,,
"53","11B0002","40563",2011,"Le Palais de Chine : M. ZHU","15 Rue Auguste Pollissard","27","Jules Guesde (Rue )",,,,"Aménagement d'un restaurant","40644",,,
"54","11B0003","40568",2011,"Sarl Drink Food : M. BENABDERRAHMANE","6 Rue Robespierre 92230 Gennevilliers","1","République (Place )","AT","215","700m²","Aménagement d' un local en restauration rapide","40694",,,
"55","11B0004","40570",2011,"Ville de Bondy : M. ROGER","Esplanade Claude FUZIER 93143 Bondy-Cedex","7-8-et 9","Becquerel (Allée","AQ","247-248",,"Réaménagement de 3 ateliers pour  accueillir  les archives municipales","40637",,,
"56","11B0005","40570",2011,"Ville de Bondy : M. ROGER","Esplanade Claude FUZIER 93143 Bondy-Cedex","77","Henri  Barbusse (Avenue )","Q              R","31            131","33152 m²","Extérieur : réalisation d'une rampe - intérieur : aménagement de 2 salles de classe et un espace de sanitaires","40687",,,
"57","11B0006","40577",2011,"M. JEOUIT","216 Avenue de Rosny","216","Rosny (Avenue )","AG","322","446 m²","Création de bureaux dans le local d'activités","Classé sans suite du 16/02/2011",,,
"58","11BOO07","40616",2011,"SNC LIDL : M. AVRIL","35 Rue  Charles PEGUY 67039 Strasbourg","20-26","Henri Varagnat                    (Avenue)               ZAC Bondy-Nord","C","166","5834 m²","Aménagementd'un local pour la préparation du pain","40687",,,
"59","11B0008","40644",2011,"La Poste -DLI Paris-Nord/Seine St Denis : M.CHAPUT","51 Rue de la Chine 75020 Paris 20","2","Suzanne Buisson (Avenue","B","193","355 m²","Travaux de rénovation",,,,
"60","11B0009","40651",2011,"Medica -France Mme JEANTEL","39 Rue Félix Eboué 92442 Issy-les Moulineaux","5","René Char (Rue )","BD","117","7400 m²","Amélioration du niveau sécurité",,,,
"61","11B0010","40661",2011,"AP-HP Hopital Jean Verdier : Mme De WILDE","Avenue du Quatorze Juillet 93143 Bondy Cedex",,"Quatorze Juillet (Avenue )","E                    L","86                    130","31255 m²","Réhabilitation du secteur salles de naissance et création d'une sixième salle .",,,,
"62","11B0011","40709",2011,"Société Générale M Amaury","17 cours Valmy 75886 Paris cedex 18","10","Varagnat (avenue)","C","156","3561m²","Création d'un local technique pour mise en place d'un automate bancaire",,,,
"63","11B0012","40721",2011,"SNC- LIDL : M. VIELCAZALS","35 Rue Charles Péguy 67039 Strasbourg","20-26","Henri Varagnat (Avenue )","C","166","5834 m²","Réménagement de la réserve du magasin en un espace fabrication du pain","40792",,"01-48-83-73-56",
"64","11B0013","40731",2011,"SAINT MACLOU
M WATTEL","330 rue Carnot BP 50149 
59391 WATTRELOS Cedex","188-190","Gallieni (avenue)","M","119","1659m²","Modification intérieures, réaménagement complet du mobilier",,,,
"65","11B0014","40736",2011,"Medica -France Mme JEANTEL","165 rue Jean Jaurès 94701 MAISON ALFORT Cedex","3","René Char (Rue )","BD","117","7400m²","Travaux d'amélioration du réseau de sécurité incendie",,,"01-43-53-60-10
fax 01-43-53-45-21",
"66","11B0015","40788",2011,"Ville de Bondy : M. ROGER","Esplanade Claude FUZIER 93143 Bondy-Cedex","4","Terre-Saint-Blaise (Rue de la )","A","214","16230 m²","Mise en œuvre d'une ITE , Remplacement des fenêtres et aménagement intérieur .",,,,
"67","11B0016","40795",2011,"La Poste -DLI Paris-Nord/Seine St Denis : M.CHAPUT","51 Rue de la Chine BP 41 75960 Paris Cedex 20","2","Suzanne Buisson (Avenue","B","193","355 m²","Création d'une rampe PMR, à l'extérieur .","40875",,,
"68","11B0017","40799",2011,"SOCRAM Banque","2 Rue du 24 Février 79000 Niort","5","Nicole Neuburger        ( place )",,,,"Installation d'un automate bancaire .","40875",,,
"69","11B0018","40841",2011,"Restaurant WOK GRILL","97 avenue De Lattre de Tassigny 93800 EPINAY","196-200","Gallieni (avenue)","M","5-6-7-17","1550m²","Aménagement d'un restaurant asiatique",,,,
"70","11B0019","40849",2011,"EURL Pharmacien Moulin
Mme N GUYEN THANH","Centre commercial Jean Moulin 93140 Bondy",,"Jean Moulin (avenue)","B","197-249-250","3791m²","Création d'une pharmacie",,,,
"71","11B0020","40904",2011,"Centre d'Action sociale de la Ville de Paris","5 Boulevard Diderot 75589 Paris Cedex 12","6","Marx Dormoy (Avenue )",,,"15033 m²","Réaménagement des locaux  de cuisine et de la salle à manger du personnel","40959",,,
"72","12B0001","40926",2012,"ADEF Résidences :
 M BOURGINE","19/21 Rue Baudin 94207 Ivry-Sur -Seine","58","G.A.De Gaulle","AR","35","1687 m²","Création d'un groupe elecrogène.",,,,
"73","12B0002","40969",2012,"BMB: M. BOURIMECH","9 Rue Eric Tabarly Bondy","130","Galliéni(Avenue)","P","129-130-131-93-87-88","41416m²","Aménagement d'un restaurant sandwicherie Pomme de Pain",,,,
"74","12B0003","40991",2012,"B et M","130 avenue gallieni","130","Galliéni(Avenue)","P","129-130-131-93-87-88","41416m²","Aménagement d'un restaurant ""l'atelier des traditions""",,,,
"75","12B0004","41010",2012,"Ville de Bondy : Mme . Thomassin","Esplanade Claude FUZIER 93143 Bondy-Cedex","151","Edouard Vaillant (Rue)","AN","235-237-238",,"Crèche de 60 berceaux .",,,,
"76","12B0005","41026",2012,"AP-HP Hopital Jean Verdier : Monsieur CHICHE Daniel","Avenue du Quatorze Juillet 93143 Bondy Cedex",,"Quatorze Juillet (Avenue )","E                L","86            130","31255m²","Aménagement des locaux PMA",,,,
"77","12B0006","41052",2012,"Mme MBOGOL","19 Allée des Sycomores","9","Verger(Rue du )","A","224",,"Réaménagement d'un local en restaurant",,,,
"78","12B0007","41064",2012,"La Poste -DAST IDF Est","68 Avenue du Général De Gaulle 94715  Maisons Alfort Cedex","2","Philosophie","AZ","231",,"Réaménagement du bureau de poste","41150",,,
"79","12B0008","41085",2012,"Sarl CAD : M. GHANNOUCHI    ""Cuisines SCHMIDT""","43  Rue Montcalme  75018 Paris","114-118","Galliéni(Avenue)",,,,"Aménagement d'un local en magasin cuisines SCHMIDT",,,,
"80","12B0009","41089",2012,"Association ""La Marmite""
Mme CONORT Murielle","5 rue de la Terre Saint Blaise
BONDY","63-65-67","Versailles (rue)","A","285","802m²","Aménagement d'1 espace d'accueil, d'1 pôle bureau et d'1 cuisine collective",,,,
"81","12B0010","41100",2012,"SOCRAM Banque","2 Rue du 24 Février 79000 Niort","19","Henri Varagnat (Avenue )","A","293","2476m²","Aménagement d'1 DAB","41150",,,
"82","12B0011","41116",2012,"SOCIETE GENERALE
M. PINAUD Michel","30 place Ronde
espace 21 - Bât 7
75886 PARIS LA DEFENSE  75886 cedex 18","41","Auguste Pollissard (rue)","P","17",,"Aménagement d'une agence banquaire","41150",,,
"83","12B0012","41127",2012,"ELMA : M. MACHADO Meubles et Literie","73 Rue de la Chapelle 75018 Paris","164","Galliéni(Avenue)","N","24",,"Aménagement d'un magasin de meubles et literie .",,,,
"84","12B0013","41131",2012,"B et B Hotels : M. SAMPEUR","271 Rue du Général Paulet CS 91975 Brest  Cedex 02","90","Galliéni (Avenue )",,,,"Rénovation des peintures, baignoires, faux-plafonds .",,,,
"85","12B0014","41162",2012,"APHP-HUPSSDJean Verdier : M. CHICHE","Avenue du Quatorze Juillet 93143 Bondy Cedex",,"Quatorze Juillet (Avenue du  )","E               L","86            130",,"Transformation de salle de bloc opératoire en salle de radio interventionnelle .",,,,
"86","12B0015","41165",2012,"Caisse d'Epargne Ile de France : M. COULON","26-28 Rue Neuve Tolbiac 75633 Paris Cedex 13","7","Carnot (Avenue)","Q","5",,"Aménagement d'une agence bancaire",,,,
"87","12B0016","41215",2012,"APHP-HUPSSDJean Verdier : M. CHICHE","Avenue du Quatorze Juillet 93143 Bondy Cedex",,"Quatorze Juillet (Avenue du )","E             L","86       130",,"aménagement de locaux pour le CECOS",,,,
"88","12B0017","41255",2012,"SCI  KS: M. ATES","44 Rue Enghien 75010 Paris","120","Groslay (Chemin de )","B","237","32238 m²",,,,,
"89","12B0018","41263",2012,"APHP-HUPSSDJean Verdier : M. CHICHE","Avenue du Quatorze Juillet 93143 Bondy Cedex",,"Quatorze Juillet (Avenue du )","E             L","86       130",,"Changement des fenêtres",,,,
"90","13B0001","41318",2013,"APHP-HUPSSDJean Verdier : M. CHICHE","Avenue du Quatorze Juillet 93143 Bondy Cedex",,"Quatorze Juillet (Avenue du )","E             L","86       130",,"Création de locaux ondulateurs","41404",,,
"91","13B0002","41368",2013,"Mme BASALA","9 Avenue Léon Blum Bondy","4","Noue-Caillet (Place de la )","B","250",,"Travaux d'aménagement d'un bar.","41583",,,
"92","13B0003","41368",2013,"EUROPCAR","2 Rue René Caudron 78960 Voisins -le-Bretonneux","95","Galliéni      (Avenue )","J","177",,"Aménagement du site : -pompes funèbres en agence  location de véhicules","41485",,,
"93","13B0004",,,"Ville de Bondy: Mme THOMASSIN","Esplanade Claude Fuzier 93143 Bondy Cedex",,,,,,"Ecuries de la gendarmerie en bureaux associatifs","41548",,,
"94","13B0005","41407",2013,"La Halle : M. FOSSET","28 Avenue de Flandre 75019 Paris","60-70","Galliéni       (Avenue )",,,,"LOCAL COMMERCIAL","41498",,,
"95","13B0006","41437",2013,"APHP-HUPSSDJean Verdier : M. CHICHE","Avenue du Quatorze Juillet",,"Quatorze Juillet (Avenue )","E                   L","86                        130","31255 m²",,,,,
"96","13B0007","41442",2013,"ADEF Résidences :
 M BOURGINE","19-21 Rue Baudin 94207 Ivry-Sur-Seine","58","G.A.De Gaulle  (avenue )",,"AR","58","Aménagement d'une salle de réunion",,,,
"97","13B0008","41451",2013,"Sarl SUB HESHVAN : M. MOYAL","9 Allée des Tilleuls 93110 Rosny-Sous-Bois","160","Galliéni (avenue )",,,,"Restaurant","41527",,,
"98","13B0009","41453",2013,"Sarl Pharmacie de l'hôtel de Ville : M. KETZ","66 Avenue de Lattre de Tassigny Bondy","66","de Lattre   de   Tassigny (avenue )",,,,"Aménagement d'une pharmacie .","41554",,,
"99","13B0010","41492",2013,"Bondy-Habitat : Mme DUFRESNEL","86 Avenue Galliéni Bondy",,"Onze Novembre (place du )",,,,"Aménagement d'une boucherie-charcuterie .","41583",,,
"100","13B0011","41500",2013,"Poste- Immo-SCI BP : M. GOUFFI","35-39 Boulevard Romain Rolland CPC 506 75018 Paris Cedex 14","32","Jean Jaurès(avenue )","AH","105",,"Réaménagement du bureau de poste Mainguy","41583",,,
"101","13B0012","41506",2013,"LA POSTE M. GOUFFI Axel","35-39 Boulevard Romain Rolland CPC 506 75618 Paris Cedex 14","2","Philosophie","AZ","231",,"AMENAGEMENT D'UN GAB","41611",,,
"102","13B0013","41506",2013,"GHAMRI Lydia","104 bd gabriel Péri 93110 ROSNY SOUS BOIS","3","Onze Novembre (place du )","P","129-17-68-87-88-95-06-70",,"CABINET DE KINESITHERAPIE","41611",,,
"103","13B0014","41521",2013,"HOR Kevin","21, rue Frédéric Mistral 93600 AULNAY SOUS BOIS","29 bis","Jean Moulin (avenue)","B","197","3791","AMENAGEMENT D'un MAGASIN D'ALIMENTATION","41639",,,
"104","13B0015","41528",2013,"ANA-L Monsieur NIZARD","9 bld de Verdun 94120 FONTENAY SOUS BOIS","1","Onze Novembre (place du )",,,,"Aménagement du laboratoire d'analyses medicales: partie accueil du publoc et salle de prélévements + partie technique et stockage","41619",,,
"105","13B0016","41576",2013,"SCI DOME LIBERTE","86 Rue du Dôme 92100","4","Liberté (rue de la )",,,,"Aménagement d'un Pôle Emploi","41670",,,
"106","14B0001","41661",2014,"SNC LIDL : VIELCAZALS","35 Rue Charles Péguy BP 032 - 67200 Strasbourg/Hautepierre Cedex 02","26","Varagnat (avenue)","C","166",,"Modernisation du magasin",,,,
"107","14B0002","41711",2014,"Sarl : M. TUNC","41 Place Nicole Neuburger  Bondy","41","Nicole Neuburger        ( place )",,,,"Aménagement d'un bar restaurant .","42019",,,
"108","14B0003","41744",2014,"SCI Célia : M. OUALLOUCHE","16 Boulevard de Strasbourg BP : 110 -93600 Aulnay-sous-Bois","12","Roger Salengro (Rue)","AE","165",,"Transformation d'un appartement en cabinet d'assurance","41879",,,
"109","14B0004","41757",2014,"Boulangerie-Patisserie Les Délices d'Adam : M. HLOUL","6 Rue Roger Salengro 93140 Bondy","6","Roger Salengro (Rue)","AE","99",,"Modification de la façade",,,,
"110","14B0005","41786",2014,"Ville de Bondy : Mme . Thomassin","Esplanade Claude Fuzier 93143 Bondy Cedex","132","Villemomble (route de )","BC","74","1040 m²","Jardin collectif ouvert au public","41863",,,
"111","14B0006","41780",2014,"ADEF Résidences : M. BOURGINE","19/21 Rue Baudin 94207 Ivry-Sur -Seine","58","G.A.De.Gaulle","AR","168",,"Travaux d'aménagement et création de nouveaux volumes .","41919",,,
"112","14B0007","41813",2014,"ASSOCIATION IMMOBILIERE ASSOMPTION - JF SALAUN","8 rue de l'Amiral d'Estaing
75016 PARIS","12","Verdun (rue de )","R","123","11561 m²","Création de saniataires PMR filles et garçons",,,,
"113","14B0008","41817",2014,"Pharmacie du Centre : M. MIDEKIN","26 Rue Roger Salengro Bondy","3","Roger Salengro (Rue)","AD","135-137",,"Aménagement d'une pharmacie en RDC ;","41911",,,
"114","14B0009","41831",2014,"Le Centre  M. GENCEL","17 Avenue des Myosotis-95500 Gonesse","2","Roger Salengro (Rue)","J","174","186 m²","Aménagement  d'un café-bar-brasserie .","42019",,,
"115","14B0010","41845",2014,"SAS Animalis : M. SEGATINI","2 Avenue des Parcs 91090 Lisses","3 et 5","Auguste Pollissard  (rue)","P","28-29",,"Aménagement d'un magasin de vente d'animaux .",,,,
"116","14B0011","41851",2014,"COMPAGNIE EUROPEENNE DE LA CHAUSSURE - SA","28 avenue de Flandres (service travaux), 75019 PARIS CEDEX 19","60 au 70 et 1 au 13","Avenue Gallieni / Rue Gätine","J","298","5798 m²","Réamanagement du back-office de vente au détail de chaussures et maroquinerie","41951",,,
"117","14B0012","41884",2014,"BOÏARDI Véronique","14 Avenue Suzanne Buisson 93140 BONDY","14","Suzanne Buisson (Avenue",,,,"Demande de dérogation au titre des régles d'accessibilité","42019",,,
"118","14B0013","41890",2014,"RELAY FRANCE SNC                           Monsieur PEROL Michel","55 rue Deguingand 92689 LEVALLOIS PERRET","1","Republique (place)",,,,"aménagement d'un emplacement commercial","42041",,,
"119","14B0014","41922",2014,"ASWINI : M. RAVY","66 Avenue Anatole France Bondy","2","République (Place de la )",,,,"Aménagement d'une Auto-Ecole","42020",,,
"120","14B0015","41922",2014,"CONFORAMA : M. ROUSSEL","80 Boulevard du Mandinet 77432 -Lognes","53","Galliéni ( Avenue )","O","180-181","14051 m²","Aménagement d'un magasin de meubles de destockage","42019",,,
"121","14B0016","41956",2014,"BABILOU Immo : M.CARLE","24 Rue du Moulin des Bruyères   92400 Courbevoie","14","Liberté (rue de la )",,,,"Aménagement d'une crèche .","42041",,,
"122","14B0017","41963",2014,"SCI Célia : M. OUALLOUCHE","16 Boulevard de Strasbourg BP : 110 -93600 Aulnay-sous-Bois","14","Roger Salengro (Rue)",,,,"Aménagement d'une agence d'assurances","42041",,,
"123","14B0018","41967",2014,"SCI BP MIXTE -Poste Immo : M. GOUFFI","35-39 Boulevard Romain Rolland CP C 506  - 75618 Paris Cedex 14","40","Henri Barbusse (Avenue )",,,,"Réaménagement d'un bureau de Poste .","42121",,,
"124","14B0019","41977",2014,"Conforama : TIC et RESTO : M. De La Fuente","53 Avenue Galliéni- 93140 Bondy","53","Galliéni      (avenue )","O","180-181","14051 m²","Restauration en RDC .","42054",,,
"125","15B0001","42130",2015,"VILLE DE BONDY","Esplanade Claude Fuzier","19","Barbusse (avenue Henri)","Q","5","440","Transformation de l'Ex CPAM en centre d'activités","42258",,,
"126","15B0002","42130",2015,"VILLE DE BONDY","Esplanade Claude Fuzier","136","Blanqui (rue Louis Auguste)","AM","63","4810","transformation de logement en salle d'activités","42282",,,
"127","15B0003","42130",2015,"VILLE DE BONDY","Esplanade Claude Fuzier","31","Elie (rue Georges)","M","111-99-126","16110","Transformation de logements en salle d'activité","42258",,,
"128","15B0004","42156",2015,"KFC : M. SCHOFIELD","100 Esplanade du Général de Gaulle Cœur Défense Tour B -92932 Paris le Défense Cedex","176","Galliéni           (avenue )","N","29","2180 m²","Rénovation de la salle et des façades","21.08.2015",,,
