"","depcom","id_ea","principal","numero","repetition","complement","type_voie","libelle","rivoli","categorie","type","nombre_logements","actualité","numero_permis","commentaire","x","y","cle"
"11",93010,930100000010030,"O",24,NA,"24-28","R","AUGUSTE POLISSARD",75,"HABIT",23,61,0,NA,"INSEE 19/01/2021: Vu expertise échantillon 2021¶","661901.06226","6867208.41825","11"
"12",93010,930100000933573,"O",11,NA,NA,"CHE","DE LA MARE A LA VEUVE",6150,"HABIT",21,1,0,NA,"INSEE 16/02/2021: Suite contrôles sur PC création de l'EA au vu des images sur google maps de juillet 2018 vu 1 TH.","661715.39629","6865670.28458","12"
"13",93010,930100000010029,"O",22,NA,NA,"R","AUGUSTE POLISSARD",75,"HABIT",23,74,0,NA,"MAIRIE 16/11/2021: suppression du complément¶INSEE 21/06/2021: Inversion de l'adresse et du complément, attention il y a un doublon d'adresse, il existe déjà un 22 auguste Polisson avec 74 logts. Cela rusque de poser problème au moment du recensement, merci de vérifier les 2 EA et corriger les adressages pour éviter les problèmes.","661901.97224","6867246.59485","13"
"14",93010,930100001052484,"O",9,"TER","RES VERLAINE BAT B1","R","JEAN JAURES",4740,"HABIT",23,20,0,NA,"INSEE 12/07/2022: Suite réponse Mairie le dégroupement de cette EA va être fait comme indiqué ci-dessous.¶MAIRIE 07/07/2022: bat A2 38 / bat B1 20","661704.18193","6867089.77708","14"
"15",93010,930100001100214,"O",183,NA,NA,"R","EDOUARD VAILLANT",3115,"HABIT",23,21,0,"PC9301018B0020","INSEE 18/04/2023: Suite à l'arrêté de numérotation n°A2021_013 du 13/01/2021, la numérotation est la suivante : ¶- 163 à 179bis rue Edouard Vaillant = 10 maisons individuelles | ¶- 181 rue Edouard Vaillant = 23 logements | ¶- 183 rue Edouard Vaillant = 21 logements | ¶- 185 rue Edouard Vaillant = 16 logements | ¶- 187 rue Edouard Vaillant = commerce | ¶- 44 allée Corneille = 22 logements.¶L'EA est dégroupée en 5 EA.¶MAIRIE 03/03/2023: demande de dégroupement. 1 entrée : 163 - 179 bis + 1 entrée au 181, puis au 183, puis au 185.¶MAIRIE 10/11/2022: encore environ 3mois de travaux.¶MAIRIE 22/10/2021: Bondy Habitat¶INSEE 05/09/2019: Création nouvelle EA suite 1er flux de Pc vu adoma demolit et les personnes reparetis sur d autres site .ce PC ne concerne pas une CMT.¶MAIRIE 18/06/2020:  travaux de démolition et construction ne sont pas commencés","662716.75052","6866196.77423","15"
"16",93010,930100001100215,"O",185,NA,NA,"R","EDOUARD VAILLANT",3115,"HABIT",23,16,0,"PC9301018B0020","INSEE 18/04/2023: Suite à l'arrêté de numérotation n°A2021_013 du 13/01/2021, la numérotation est la suivante : ¶- 163 à 179bis rue Edouard Vaillant = 10 maisons individuelles | ¶- 181 rue Edouard Vaillant = 23 logements | ¶- 183 rue Edouard Vaillant = 21 logements | ¶- 185 rue Edouard Vaillant = 16 logements | ¶- 187 rue Edouard Vaillant = commerce | ¶- 44 allée Corneille = 22 logements.¶L'EA est dégroupée en 5 EA.¶MAIRIE 03/03/2023: demande de dégroupement. 1 entrée : 163 - 179 bis + 1 entrée au 181, puis au 183, puis au 185.¶MAIRIE 10/11/2022: encore environ 3mois de travaux.¶MAIRIE 22/10/2021: Bondy Habitat¶INSEE 05/09/2019: Création nouvelle EA suite 1er flux de Pc vu adoma demolit et les personnes reparetis sur d autres site .ce PC ne concerne pas une CMT.¶MAIRIE 18/06/2020:  travaux de démolition et construction ne sont pas commencés","662746.03582","6866194.03650","16"
"17",93010,930100001101082,"O",30,NA,NA,"ALL","RASPAIL",8130,"HABIT",21,1,0,NA,"INSEE 20/04/2023: Dans Rorcal, manque le pavillon au numéro 30. ¶Vu Maps, c'est bien 1 pavillon au 28 et 1 pavillon au 30.¶Je crée une nouvelle EA au numéro 30.¶(créée suite contrôle en bureau et dossier RIL de l'année dernière ressorti).¶Arrêté de numérotation fourni à l'époque  A2021_158 du 11/05/2021.","663137.11051","6867203.36064","17"
"18",93010,930100000003969,"O",10,NA,NA,"R","MARTIN LUTHER KING",6171,"HABIT",23,42,1,"PD9301024B0005","INSEE 26/11/2024: Suite 2ème flux permis 2024-2025, permis de démolir reçu en statut autorisé pour destruction de 68 logements.¶INSEE 07/10/2024: Suite à la restructuration urbaine prévue du quartier Martin Luther King, merci de vérifier si cette EA est concernée.","662504.31457","6866369.71643","18"
"19",93010,930100000005375,"O",4,"BIS",NA,"R","ETIENNE DOLET",3160,"HABIT",21,1,0,"PD9301024B0002","INSEE 26/11/2024: Suite 2ème flux permis 2024-2025, nous recevons un permis de démolir en statut autorisé pour démolition d'1 logement (parcelle AU0103). Merci de vérifier s'il correspond à cette entité adressée, et passer l'EA à l'état périmée si c'est le cas.","661654.60000","6866087.40000","19"
"20",93010,930100000005374,"O",4,NA,NA,"R","ETIENNE DOLET",3160,"HABIT",21,1,0,"PD9301024B0003","INSEE 26/11/2024: Suite 2ème flux permis 2024-2025, nous recevons un permis de démolir en statut autorisé pour démolition d'1 logement (parcelle AU0058). Merci de vérifier s'il correspond à cette entité adressée, et passer l'EA à l'état périmée si c'est le cas.","661674.80000","6866092.00000","20"
"21",93010,930100001142632,"O",6,NA,"BAT B","AV","JULES FERRY",4770,"HABIT",23,33,3,"PC9301021B0011","INSEE 06/09/2024: Suite à l'arrêté de numérotation N°A2024_270 du 09/08/2024, la numérotation est la suivante : ¶- accès logements depuis l'avenue Jules Ferry : 10 avenue Jules Ferry | ¶- accès local depuis l'avenue Jules Ferry : 8 avenue Jules Ferry | ¶- accès jardins partagés depuis l'avenue Jules Ferry : 6 avenue Jules Ferry.¶MAIRIE 25/04/2024: fondations - 2 ans de travaux¶MAIRIE 30/11/2023: demande de dégroupement bat A 25 / bat B 33 /  bat C 25¶MAIRIE 04/04/2023: démolition achevée¶INSEE 09/12/2022: Merci de vérifier l'actualité et le positionnement de l'entité adressée. ¶De plus, le PC indique 3 logements démolis : merci de faire le nécessaire sur les EA alentours concernées.","661535.51798","6866104.52195","21"
