MOT_DIR,NOM_MIN,TYPE_VOIE,statut,MOT_DIR2,,
france,avenue anatole france,avenue,original,FRANCE,,
frank,allée anne frank,allée,original,FRANK,,
fraternité,rue de la fraternité,rue,original,FRATERNITE,,
fremin,rue fremin,rue,original,FREMIN,,
frênes,allée des frênes,allée,original,FRÊNES,,
furci,allée de furci,allée,original,FURCI,,
gabrielle,allée gabrielle,allée,original,GABRIELLE,,
gallieni,avenue gallieni,avenue,original,GALLIENI,,
gare,place de la gare,place,original,GARE,,
gargantua,rue gargantua,rue,original,GARGANTUA,,
gâtine,rue gâtine,rue,original,GATINE,,
gaulle avenue,avenue geneviève anthonioz de gaulle,avenue,modif,GAULLE AVENUE,,
gaulle place,place charles de gaulle,place,modif,GAULLE PLACE,,
gaulois,rue du coq gaulois,rue,original,GAULOIS,,
gazelles,rue des gazelles,rue,original,GAZELLES,,
glaïeuls,allée des glaïeuls,allée,original,GLAÏEULS,,
glycines,allée des glycines,allée,original,GLYCINES,,
gounod,allée charles gounod,allée,original,GOUNOD,,
goya,allée goya,allée,original,GOYA,,
graff,rue georges graff,rue,original,GRAFF,,
grandet,avenue clara grandet,avenue,original,GRANDET,,
groslay,chemin de groslay,chemin,original,GROSLAY,,
groussier,rue arthur groussier,rue,original,GROUSSIER,,
guesde,rue jules guesde,rue,original,GUESDE,,
gueugnon,avenue gueugnon,avenue,original,GUEUGNON,,
guyard,rue amédée guyard,rue,original,GUYARD,,
halage,chemin de halage,chemin,original,HALAGE,,
halimi,rue gisèle halimi,rue,original,HALIMI,,
haydn,impasse haydn,impasse,original,HAYDN,,
hêtres,allée des hêtres,allée,original,HÊTRES,,
homme,rue des droits de l'homme,rue,original,HOMME,,
hortensias,allée des hortensias,allée,original,HORTENSIAS,,
hugo,allée victor hugo,allée,original,HUGO,,
idéal,avenue de l'idéal,avenue,original,IDEAL,,
ingres,allée dominique ingres,allée,original,INGRES,,
iris,allée des iris,allée,original,IRIS,,
jardinière allée,allée de la jardinière,allée,modif,JARDINIÈRE ALLEE,,
jardinière impasse,impasse de la jardinière,impasse,modif,JARDINIÈRE IMPASSE,,
jaurès,rue jean jaurès,rue,original,JAURÈS,,
jeannette,allée de la villa jeannette,allée,original,JEANNETTE,,
jouhaux,avenue léon jouhaux,avenue,original,JOUHAUX,,
juillet,avenue du 14 juillet,avenue,original,JUILLET,,
jussieu,rue bernard de jussieu,rue,original,JUSSIEU,,
king,rue martin luther king,rue,original,KING,,
kipling,rue rudyard kipling,rue,original,KIPLING,,
lafargue,allée paul lafargue,allée,original,LAFARGUE,,
latéral,chemin latéral,chemin,original,LATERAL,,
laug,rue laug,rue,original,LAUG,,
laurencin,allée marie laurencin,allée,original,LAURENCIN,,
lauriers,allée des lauriers,allée,original,LAURIERS,,
lavigne,villa lavigne,villa,original,LAVIGNE,,
lebas,avenue jean lebas,avenue,original,LEBAS,,
leclerc,place de la division leclerc,place,original,LECLERC,,
lecomte,rue jules lecomte,rue,original,LECOMTE,,
leder,rue david leder,rue,original,LEDER,,
lelong,rue jules lelong,rue,original,LELONG,,
léon allée,allée léon,allée,modif,LEON ALLEE,,
léon rue,rue désiré léon,rue,modif,LEON RUE,,
lettres,allée des lettres,allée,original,LETTRES,,
levant,rue du levant,rue,original,LEVANT,,
liberté impasse,impasse de la liberté,impasse,modif,LIBERTE IMPASSE,,
liberté rue,rue de la liberté,rue,modif,LIBERTE RUE,,
lilas,allée des lilas,allée,original,LILAS,,
limites,rue des limites,rue,original,LIMITES,,
lion,rue du lion,rue,original,LION,,
lisle,avenue rouget de lisle,avenue,original,LISLE,,
louis,rue saint-louis,rue,original,LOUIS,,
louis prolongée,rue saint-louis prolongée,rue,modif2,LOUIS PROLONGEE,,
louise,allée louise,allée,original,LOUISE,,
lyssandre,place georges lyssandre,place,original,LYSSANDRE,,
madeleine,villa madeleine,villa,original,MADELEINE,,
magne,rue charles magne,rue,original,MAGNE,,
mai,square du 8 mai 1945,square,original,MAI,,
manet,allée manet,allée,original,MANET,,
maraîchers,rue des maraîchers,rue,original,MARAÎCHERS,,
marguerite,avenue marguerite,avenue,original,MARGUERITE,,
marronniers,villa des marronniers,villa,original,MARRONNIERS,,
marthe,allée alexandre marthe,allée,original,MARTHE,,
martí,allée josé martí,allée,original,MARTI,,
martin allée,allée san martin,allée,modif,MARTIN ALLEE,,
martin rue,rue françois martin,rue,modif,MARTIN RUE,,
masson,rue eugène masson,rue,original,MASSON,,
maupassant,rue guy de maupassant,rue,original,MAUPASSANT,,
meaux,rue de meaux,rue,original,MEAUX,,
merlan,chemin du merlan,chemin,original,MERLAN,,
mesarmes,avenue des mesarmes,avenue,original,MESARMES,,
metz,avenue de metz,avenue,original,METZ,,MOLIÈRE
michel,allée louise michel,allée,original,MICHEL,,
michelet passage,passage michelet,passage,modif,MICHELET PASSAGE,,
michelet rue,rue michelet,rue,modif,MICHELET RUE,,
midi,rue du midi,rue,original,MIDI,,
mignard,allée mignard,allée,original,MIGNARD,,
millet,allée millet,allée,original,MILLET,,
moleret,rue du moleret,rue,original,MOLERET,,
molière,allée molière,allée,original,MOLIERE,,
monnet,rue jean monnet,rue,original,MONNET,,
monod,rue théodore monod,rue,original,MONOD,,
montplaisir,allée montplaisir,allée,original,MONTPLAISIR,,
moulin allée,allée du moulin,allée,modif,MOULIN ALLEE,,
moulin avenue,avenue jean moulin,avenue,modif,MOULIN AVENUE,,
moulin rue,rue du vieux moulin,rue,modif,MOULIN RUE,,
mouly,rue henri mouly,rue,original,MOULY,,
mozart,allée mozart,allée,original,MOZART,,
muguet,allée du muguet,allée,original,MUGUET,,
murad,rue nadia murad,rue,original,MURAD,,
est,avenue de l'est,avenue,original,EST,,
nancy,avenue de nancy,avenue,original,NANCY,,
néel,rue alexandra david néel,rue,original,NEEL,,
neruda,allée pablo neruda,allée,original,NERUDA,,
neuburger,place nicole neuburger,place,original,NEUBURGER,,
neuve,rue neuve,rue,original,NEUVE,,
noémie,rue noémie,rue,original,NOEMIE,,
novembre,place du 11 novembre 1918,place,original,NOVEMBRE,,
orchidées,allée des orchidées,allée,original,ORCHIDEES,,
orme,allée de l'orme,allée,original,ORME,,
ormes,rue des 5 ormes,rue,original,ORMES,,
pain,rue odette pain,rue,original,PAIN,,
paix,allée de la paix,allée,original,PAIX,,
pantagruel,mail pantagruel,mail,original,PANTAGRUEL,,
panurge,rue de panurge,rue,original,PANURGE,,
pâquerettes,allée des pâquerettes,allée,original,PAQUERETTES,,
parisienne avenue,avenue de la parisienne,avenue,modif,PARISIENNE AVENUE,,
parisienne impasse,impasse de la parisienne,impasse,modif,PARISIENNE IMPASSE,,
parmentier,villa parmentier,villa,original,PARMENTIER,,
pasteur,avenue pasteur,avenue,original,PASTEUR,,
paul,rue marcel paul,rue,original,PAUL,,
pensées,allée des pensées,allée,original,PENSEES,,
peupliers,rue des peupliers,rue,original,PEUPLIERS,,
philosophie,rue de la philosophie,rue,original,PHILOSOPHIE,,
pinsons,allée des pinsons,allée,original,PINSONS,,
plaisance,rue de plaisance,rue,original,PLAISANCE,,
platanes,avenue des platanes,avenue,original,PLATANES,,
polissard,rue auguste polissard,rue,original,POLISSARD,,
pont chemin,chemin du pont,chemin,modif,PONT CHEMIN,,
pont rampe,rampe du pont,rampe,modif,PONT RAMPE,,
poque,allée poque,allée,original,POQUE,,
potager,rue du potager,rue,original,POTAGER,,
pottier allée,allée pottier,allée,modif,POTTIER ALLEE,,
pottier impasse,impasse fernand pottier,impasse,modif,POTTIER IMPASSE,,
pressense,rue de pressense,rue,original,PRESSENSE,,
primevères,allée des primevères,allée,original,PRIMEVÈRES,,
prof vaillant,rue du professeur vaillant,rue,modif2,PROF VAILLANT,,
progrès,rue du progrès,rue,original,PROGRÈS,,
prolongée chemin,chemin de la mare à la veuve prolongée,chemin,modif,PROLONGEE CHEMIN,,
rabelais,rue rabelais,rue,original,RABELAIS,,
racine,allée racine,allée,original,RACINE,,
raoul,rue raoul,rue,original,RAOUL,,
raphaël,allée raphaël,allée,original,RAPHAEL,,
raspail,allée raspail,allée,original,RASPAIL,,
régale,allée de la régale,allée,original,REGALE,,
renaud,rue paul renaud,rue,original,RENAUD,,
renoncules,allée des renoncules,allée,original,RENONCULES,,
république avenue,avenue de la république,avenue,modif,REPUBLIQUE AVENUE,,
république cours,cours de la république,cours,modif,REPUBLIQUE COURS,,
république place,place de la république,place,modif,REPUBLIQUE PLACE,,
rimbaud place,place arthur rimbaud,place,modif,RIMBAUD PLACE,,
rimbaud rue,rue arthur rimbaud,rue,modif,RIMBAUD RUE,,
roger,rue pauline roger,rue,original,ROGER,,
ronsard,rue pierre de ronsard,rue,original,RONSARD,,
roses,allée des roses,allée,original,ROSES,,
rosny,avenue de rosny,avenue,original,ROSNY,,
rousseau,rue jean jacques rousseau,rue,original,ROUSSEAU,,
rulhiere,allée rulhière,allée,original,RULHIERE,,
sakharov,rue andreï sakharov,rue,original,SAKHAROV,,
salengro,rue roger salengro,rue,original,SALENGRO,,
sand,allée georges sand,allée,original,SAND,,
saules,cité des saules,cité,original,SAULES,,
sautereau,allée sautereau,allée,original,SAUTEREAU,,
schoelcher,place victor schoelcher,place,original,SCHOELCHER,,
sciences,avenue des sciences,avenue,original,SCIENCES,,
séailles,villa gabriel séailles,villa,original,SEAILLES,,
sembat,allée marcel sembat,allée,original,SEMBAT,,
septembre,rue du 4 septembre,rue,original,SEPTEMBRE,,
sillons,allée des courts sillons,allée,original,SILLONS,,
solidarité impasse,impasse de la solidarité,impasse,modif,SOLIDARITE IMPASSE,,
solidarité rue,rue de la solidarité,rue,modif,SOLIDARITE RUE,,
sorbiers,allée des sorbiers,allée,original,SORBIERS,,
stains,route de stains,route,original,STAINS,,
strasbourg,boulevard de strasbourg,boulevard,original,STRASBOURG,,
surcouf,allée surcouf,allée,original,SURCOUF,,
sycomores,allée des sycomores,allée,original,SYCOMORES,,
sylphes,allée des sylphes,allée,original,SYLPHES,,
sylvestre,allée anne sylvestre,allée,original,SYLVESTRE,,
tabarly,rue éric tabarly,rue,original,TABARLY,,
tanguy,rue henri rol tanguy,rue,original,TANGUY,,
tassigny,avenue du maréchal de lattre de tassigny,avenue,original,TASSIGNY,,
thérèse,allée thérèse,allée,original,THERÈSE,,
thomas,place albert thomas,place,original,THOMAS,,
thorel,villa thorel,villa,original,THOREL,,
tilleuls,allée des tilleuls,allée,original,TILLEULS,,
tillion,rue germaine tillion,rue,original,TILLION,,
tjibaou,rue jean-marie tjibaou,rue,original,TJIBAOU,,
tremeuge,rue de tremeuge,rue,original,TREMEUGE,,
trinquamelle,rue trinquamelle,rue,original,TRINQUAMELLE,,
tulipes,allée des tulipes,allée,original,TULIPES,,
union,rue de l'union,rue,original,UNION,,
vaillant,rue édouard vaillant,rue,modif2,VAILLANT,,
varagnat,avenue henri varagnat,avenue,original,VARAGNAT,,
varlin,rue eugène varlin,rue,original,VARLIN,,
varsovie,rue de varsovie,rue,original,VARSOVIE,,
veil,rue simone veil,rue,original,VEIL,,
vercors,passage du vercors,passage,original,VERCORS,,
verdun,avenue de verdun,avenue,original,VERDUN,,
verger rond-point,rond-point du verger,rond-point,modif,VERGER ROND-POINT,,
verger rue,rue du verger,rue,modif,VERGER RUE,,
versailles,rue de versailles,rue,original,VERSAILLES,,
veuve,chemin de la mare à la veuve,chemin,original,VEUVE,,
vignes,allée des vignes,allée,original,VIGNES,,
villageoise,avenue de la villageoise,avenue,original,VILLAGEOISE,,
villégiature,avenue de la villégiature,avenue,original,VILLEGIATURE,,
villemomble,route de villemomble,route,original,VILLEMOMBLE,,
villes,passage des deux villes,passage,original,VILLES,,
villon,rue françois villon,rue,original,VILLON,,
violettes,impasse des violettes,impasse,original,VIOLETTES,,
voltaire,allée voltaire,allée,original,VOLTAIRE,,
vous,allée du rendez-vous,allée,original,VOUS,,
watteau,allée watteau,allée,original,WATTEAU,,
weiss,allée louise weiss,allée,original,WEISS,,
wiener,impasse jean wiener,impasse,original,WIENER,,
yvonne,rue yvonne,rue,original,YVONNE,,
zola,rue émile zola,rue,original,ZOLA,,
