Dossier,Numéro - Type de dossier,Code insee de la commune principale,Année de dépôt,Date de dépôt,Dossier issu de la SVE ?
DP 93010 22 B0028,DP,93010,2022,24/02/2022,0
PC 93010 21 b0060 M02,PC,93010,2022,04/03/2022,0
PD 93010 22 B0002,PD,93010,2022,14/04/2022,0
PC 93010 22 B0016,PC,93010,2022,15/04/2022,1
DP 93010 22 B0018,DP,93010,2022,09/02/2022,0
DP 93010 22 B0017,DP,93010,2022,09/02/2022,0
DP 93010 22 B0013,DP,93010,2022,31/01/2022,0
PC 93010 22 B0006,PC,93010,2022,22/02/2022,0
DP 93010 23 B0065,DP,93010,2023,17/04/2023,0
PC 93010 19 B0037 M01,PC,93010,2020,11/11/2020,0
DP 93010 22 B0171,DP,93010,2022,21/11/2022,0
DP 93010 22 B0042,DP,93010,2022,21/03/2022,0
DP 93010 22 B0038,DP,93010,2022,16/03/2022,0
PC 93010 22 B0018,PC,93010,2022,15/04/2022,1
DP 93010 21 B0178,DP,93010,2021,27/09/2021,0
PC 93010 19 B0037 M02,PC,93010,2022,16/02/2022,0
DP 93010 22 B0059,DP,93010,2022,21/04/2022,0
DP 93010 22 B0041,DP,93010,2022,25/03/2022,1
PC 93010 22 B0004,PC,93010,2022,09/02/2022,0
DP 93010 22 00043,DP,93010,2022,21/03/2022,0
DP 93010 22 00044,DP,93010,2022,30/03/2022,0
DP 93010 22 B0048,DP,93010,2022,07/04/2022,0
PC 93010 22 00014,PC,93010,2022,06/04/2022,0
DP 93010 22 B0051,DP,93010,2022,05/04/2022,0
DP 93010 22 B0045,DP,93010,2022,04/04/2022,0
DP 93010 22 B0040,DP,93010,2022,25/03/2022,0
DP 93010 21 B0213,DP,93010,2021,17/12/2021,0
PC 93010 21 B0087,PC,93010,2021,19/11/2021,0
DP 93010 22 B0049,DP,93010,2022,07/04/2022,0
DP 93010 22 B0052,DP,93010,2022,06/04/2022,0
DP 93010 21 B0208,DP,93010,2021,02/12/2021,0
DP 93010 21 B0210,DP,93010,2021,17/12/2021,0
DP 93010 21 B0212,DP,93010,2021,22/12/2021,0
PC 93010 21 B0097,PC,93010,2021,15/12/2021,0
DP 93010 21 B0193,DP,93010,2021,29/10/2021,0
DP 93010 22 B0054,DP,93010,2022,14/04/2022,0
PC 93010 21 B0041,PC,93010,2021,21/05/2021,0
PC 93010 21 B0060,PC,93010,2021,30/07/2021,0
PC 93010 22 B0015,PC,93010,2022,14/04/2022,0
DP 93010 21 B0197,DP,93010,2021,24/11/2021,0
DP 93010 22 B0062,DP,93010,2022,06/05/2022,0
DP 93010 22 B0060,DP,93010,2022,03/05/2022,0
PC 93010 21 B0086,PC,93010,2021,15/11/2021,0
DP 93010 21 B0201,DP,93010,2021,16/11/2021,0
PC 93010 22 B0025,PC,93010,2022,02/05/2022,0
PC 93010 21 B0098,PC,93010,2021,17/12/2021,0
PC 93010 21 B0099,PC,93010,2021,20/12/2021,0
DP 93010 21 B0205,DP,93010,2021,24/11/2021,0
DP 93010 22 B0065,DP,93010,2022,05/05/2022,0
PC 93010 21 B0055,PC,93010,2021,23/07/2021,0
PC 93010 21 b0085,PC,93010,2021,16/11/2021,0
DP 93010 22 B0064,DP,93010,2022,06/05/2022,0
DP 93010 22 B0070,DP,93010,2022,06/05/2022,0
DP 93010 22 B0184,DP,93010,2022,12/12/2022,1
DP 93010 21 B0194,DP,93010,2021,09/11/2021,0
DP 93010 22 B0053,DP,93010,2022,11/04/2022,0
DP 93010 22 B0107,DP,93010,2022,12/07/2022,0
DP 93010 21 B0202,DP,93010,2021,18/11/2021,0
PC 93010 22 B0044,PC,93010,2022,07/07/2022,0
PC 93010 21 B0035 M01,PC,93010,2021,14/09/2021,0
PC 93010 21 B0079,PC,93010,2021,27/10/2021,0
DP 93010 21 B0206,DP,93010,2021,24/11/2021,0
PC 93010 21 B0091,PC,93010,2021,02/12/2021,0
PC 93010 21 B0092,PC,93010,2021,06/12/2021,0
PC 93010 21 B0094,PC,93010,2021,10/12/2021,0
PC 93010 21 B0106,PC,93010,2021,28/12/2021,0
DP 93010 22 B0056,DP,93010,2022,20/04/2022,1
PC 93010 22 B0022,PC,93010,2022,28/04/2022,0
DP 93010 22 B0066,DP,93010,2022,09/05/2022,0
PC 93010 22 B0026,PC,93010,2022,10/05/2022,0
DP 93010 22 B0020,DP,93010,2022,10/02/2022,0
DP 93010 21 B0195,DP,93010,2021,04/11/2021,0
PC 93010 22 B0024,PC,93010,2022,29/04/2022,0
PC 93010 23 B0025,PC,93010,2023,05/05/2023,1
DP 93010 21 B0204,DP,93010,2021,23/11/2021,0
DP 93010 21 B0199,DP,93010,2021,15/11/2021,0
DP 93010 22 B0063,DP,93010,2022,05/05/2022,0
DP 93010 22 B0069,DP,93010,2022,04/05/2022,0
PC 93010 21 B0093,PC,93010,2021,06/12/2021,0
PC 93010 22 B0031,PC,93010,2022,16/05/2022,1
PC 93010 21 B0095,PC,93010,2021,09/12/2021,0
DP 93010 21 B0207,DP,93010,2021,26/11/2021,0
PC 93010 21 B0068 M01,PC,93010,2022,20/04/2022,0
DP 93010 22 B0057,DP,93010,2022,20/04/2022,1
DP 93010 22 B0072,DP,93010,2022,16/05/2022,1
PC 93010 21 B0104,PC,93010,2021,28/12/2021,0
DP 93010 22 B0071,DP,93010,2022,16/05/2022,1
DP 93010 22 B0061,DP,93010,2022,03/05/2022,0
DP 93010 22 B0010,DP,93010,2022,25/01/2022,0
PC 93010 22 B0020,PC,93010,2022,20/04/2022,0
DP 93010 22 B0075,DP,93010,2022,16/05/2022,1
DP 93010 21 B0198,DP,93010,2021,09/11/2021,0
DP 93010 22 B0058,DP,93010,2022,21/04/2022,0
DP 93010 21 B0196,DP,93010,2021,09/11/2021,0
PC 93010 22 B0019,PC,93010,2022,19/04/2022,0
PC 93010 21 B0084,PC,93010,2021,16/11/2021,0
DP 93010 21 B0203,DP,93010,2021,19/11/2021,0
PC 93010 22 B0030,PC,93010,2022,16/05/2022,1
PC 93010 21 B0089,PC,93010,2021,23/11/2021,0
PC 93010 21 B0090,PC,93010,2021,26/11/2021,0
DP 93010 22 B0068,DP,93010,2022,10/05/2022,0
PC 93010 21 B0064,PC,93010,2021,03/08/2021,0
DP 93010 21 B0190,DP,93010,2021,20/10/2021,0
DP 93010 21 B0187,DP,93010,2021,19/10/2021,0
DP 93010 21 B0159,DP,93010,2021,03/08/2021,0
DP 93010 21 B0186,DP,93010,2021,26/11/2021,0
DP 93010 22 B0081,DP,93010,2022,25/05/2022,0
DP 93010 23 B0013,DP,93010,2023,20/01/2023,0
DP 93010 21 B0183,DP,93010,2021,08/10/2021,0
DP 93010 21 B0179,DP,93010,2021,29/09/2021,0
DP 93010 21 B0181,DP,93010,2021,08/10/2021,0
DP 93010 21 B0182,DP,93010,2021,07/10/2021,0
DP 93010 22 B0124,DP,93010,2022,23/08/2022,1
PC 93010 22 B0077,PC,93010,2022,18/05/2022,1
DP 93010 21 B0188,DP,93010,2021,19/10/2021,0
DP 93010 21 B0184,DP,93010,2021,15/10/2021,0
PD 93010 21 B0011,PD,93010,2021,29/09/2021,0
DP 93010 22 00076,DP,93010,2022,11/05/2022,0
DP 93010 22 B0082,DP,93010,2022,27/05/2022,0
PC 93010 21 B0051,PC,93010,2021,24/06/2021,0
DP 93010 21 B0158,DP,93010,2021,15/10/2021,0
DP 93010 22 B0080,DP,93010,2022,25/05/2022,0
DP 93010 21 B0157,DP,93010,2021,02/08/2021,0
PC 93010 22 B0036,PC,93010,2022,31/05/2022,1
DP 93010 21 B0152,DP,93010,2021,30/07/2021,0
PC 93010 22 B0040,PC,93010,2022,01/07/2022,0
DP 93010 21 B0136,DP,93010,2021,06/07/2021,0
PC 93010 21 B0068,PC,93010,2021,11/09/2021,0
PC 93010 21 B0071,PC,93010,2021,10/09/2021,0
DP 93010 22 B0096,DP,93010,2022,24/06/2022,0
DP 93010 21 B0113,DP,93010,2021,14/06/2021,0
DP 93010 22 B0108,DP,93010,2022,15/07/2022,0
PC 93010 21 B0044,PC,93010,2021,11/06/2021,0
DP 93010 22 B0024,DP,93010,2022,21/02/2022,0
DP 93010 21 B0126,DP,93010,2021,23/06/2021,0
PC 93010 22 B0035,PC,93010,2022,25/05/2022,1
DP 99999 22 00002,DP,99999,2022,24/01/2022,1
DP 93010 21 B0110,DP,93010,2021,04/07/2021,0
PC 93010 21 B0066,PC,93010,2021,27/09/2021,0
PC 93010 21 B0048,PC,93010,2021,23/06/2021,0
PC 93010 22 00033,PC,93010,2022,01/06/2022,1
PC 93010 21 B0040,PC,93010,2021,20/05/2021,0
DP 93010 22 B0094,DP,93010,2022,17/06/2022,0
PC 93010 21 B0054,PC,93010,2021,16/07/2021,0
DP 93010 22 B0097,DP,93010,2022,21/06/2022,1
DP 93010 21 B0170,DP,93010,2021,10/09/2021,0
DP 93010 22 B0098,DP,93010,2022,23/06/2022,1
DP 93010 22 B0089,DP,93010,2022,03/06/2022,0
DP 93010 21 B0168,DP,93010,2021,03/09/2021,0
DP 93010 22 B0090,DP,93010,2022,07/06/2022,0
DP 93010 21 B0135,DP,93010,2021,06/07/2021,0
DP 93010 21 B0134,DP,93010,2021,05/07/2021,0
DP 93010 22 B0084,DP,93010,2022,01/06/2022,0
DP 93010 21 B0163,DP,93010,2021,11/08/2021,0
DP 93010 22 B0086,DP,93010,2022,01/06/2022,0
PC 93010 21 B0121,PC,93010,2021,15/06/2021,0
DP 93010 22 b0100,DP,93010,2022,22/06/2022,0
DP 93010 21 B0172,DP,93010,2021,17/09/2021,0
DP 93010 21 B0151,DP,93010,2021,30/07/2021,0
DP 93010 22 B0091,DP,93010,2022,30/05/2022,1
PC 93010 22 B0033,PC,93010,2022,23/05/2022,1
DP 93010 21 B0140,DP,93010,2021,16/07/2021,0
DP 93010 21 B0138,DP,93010,2021,12/07/2021,0
PC 93010 21 B0070,PC,93010,2021,06/09/2021,0
PC 93010 22 B0032,PC,93010,2022,23/05/2022,0
DP 93010 21 B0161,DP,93010,2021,06/08/2021,0
PC 93010 21 B0058,PC,93010,2021,28/07/2021,0
PC 93010 21 B0057,PC,93010,2021,28/07/2021,0
PD 93010 21 B0009,PD,93010,2021,24/08/2021,0
DP 93010 22 00083,DP,93010,2022,25/05/2022,0
PD 93010 21 B0007,PD,93010,2021,28/07/2021,0
DP 93010 21 B0162,DP,93010,2021,11/08/2021,0
PC 93010 21 B0034 T02,PC,93010,2022,22/06/2022,0
DP 93010 21 B0130,DP,93010,2021,29/06/2021,0
DP 93010 21 B0150,DP,93010,2021,30/07/2021,0
DP 93010 21 B0123,DP,93010,2021,17/06/2021,0
PC 93010 21 B0056,PC,93010,2021,26/07/2021,0
DP 93010 21 B0122,DP,93010,2021,15/06/2021,0
DP 93010 21 B0148,DP,93010,2021,25/08/2021,0
DP 93010 21 B0147,DP,93010,2021,27/07/2021,0
PC 93010 21 B0008 M01,PC,93010,2021,20/07/2021,0
PD 93010 21 B0008,PD,93010,2021,30/07/2021,0
PC 93010 22 B0038,PC,93010,2022,13/06/2022,0
DP 93010 21 B0171,DP,93010,2021,17/09/2021,0
DP 93010 21 B0156,DP,93010,2021,30/07/2021,0
DP 93010 21 B0165,DP,93010,2021,24/08/2021,0
PC 93010 21 B0052,PC,93010,2021,02/07/2021,0
DP 93010 22 B0125,DP,93010,2022,24/08/2022,0
PC 93010 22 00021,PC,93010,2022,27/04/2022,0
DP 93010 21 B0175,DP,93010,2021,13/10/2021,0
DP 93010 21 B0124,DP,93010,2021,12/07/2021,0
DP 93010 21 B0144,DP,93010,2021,21/07/2021,0
DP 93010 21 B0174,DP,93010,2021,21/09/2021,0
DP 93010 21 B0200,DP,93010,2021,15/11/2021,0
DP 93010 22 B0099,DP,93010,2022,28/06/2022,1
DP 93010 21 B0133,DP,93010,2021,25/06/2021,0
PC 93010 21 B0050,PC,93010,2021,28/06/2021,0
DP 93010 21 B0164,DP,93010,2021,12/08/2021,0
DP 93010 21 B0128,DP,93010,2021,25/06/2021,0
DP 93010 21 B0109,DP,93010,2021,03/06/2021,0
DP 93010 21 B0105,DP,93010,2021,04/06/2021,0
DP 93010 23 B0035,DP,93010,2023,06/03/2023,1
DP 93010 21 B0149,DP,93010,2021,27/07/2021,0
DP 93010 22 B0146,DP,93010,2022,30/09/2022,1
PD 93010 21 B0010,PD,93010,2021,10/09/2021,0
PD 93010 21 B0006,PD,93010,2021,12/07/2021,0
DP 93010 21 B0139,DP,93010,2021,07/07/2021,0
DP 93010 22 B0088,DP,93010,2022,03/06/2022,0
DP 93010 22 B0105,DP,93010,2022,30/06/2022,0
DP 93010 21 B0146,DP,93010,2021,27/07/2021,0
DP 93010 21 B0279,DP,93010,2021,10/06/2021,0
DP 93010 21 B0132,DP,93010,2021,25/06/2021,0
DP 93010 21 B0145,DP,93010,2021,22/07/2021,0
DP 93010 22 B0145,DP,93010,2022,30/09/2022,1
DP 93010 21 B0142,DP,93010,2021,19/07/2021,0
DP 93010 22 B0095,DP,93010,2022,23/06/2022,0
DP 93010 22 B0183,DP,93010,2022,02/12/2022,0
PC 93010 21 B0072,PC,93010,2021,21/09/2021,0
DP 93010 21 B0167,DP,93010,2021,23/08/2021,0
DP 93010 21 B0108,DP,93010,2021,02/06/2021,0
DP 93010 21 B0111,DP,93010,2021,09/06/2021,0
DP 93010 21 B0120,DP,93010,2021,17/06/2021,0
PC 93010 21 B0043,PC,93010,2021,02/06/2021,0
DP 93010 21 B0102,DP,93010,2021,27/05/2021,0
DP 93010 21 B0116,DP,93010,2021,09/06/2021,0
PC 93010 16 B0047 M02,PC,93010,2022,04/05/2022,0
DP 93010 21 B0115,DP,93010,2021,08/06/2021,0
PC 93010 17 B0052 M03,PC,93010,2022,25/05/2022,0
DP 93010 22 B0111,DP,93010,2022,29/07/2022,0
DP 93010 21 B0176,DP,93010,2021,24/09/2021,0
DP 93010 21 B0155,DP,93010,2021,29/07/2021,0
DP 93010 21 B0173,DP,93010,2021,17/09/2021,0
DP 93010 21 B0153,DP,93010,2021,30/07/2021,0
PC 93010 22 B0039,PC,93010,2022,24/06/2022,0
PC 93010 21 B0046,PC,93010,2021,15/06/2021,0
DP 93010 21 B0129,DP,93010,2021,28/06/2021,0
DP 93010 21 B0166,DP,93010,2021,23/08/2021,0
PC 93010 17 B0071 M02,PC,93010,2022,15/06/2022,0
PC 93010 22 B0034,PC,93010,2022,18/05/2022,1
PC 93010 21 B0011,PC,93010,2021,19/01/2021,0
PC 93010 22 B0007,PC,93010,2022,22/02/2022,0
DP 93010 22 B0110,DP,93010,2022,20/07/2022,0
DP 93010 22 B0103,DP,93010,2022,05/07/2022,0
PC 93010 22 B0042,PC,93010,2022,06/07/2022,0
PC 93010 22 B0047,PC,93010,2022,21/07/2022,0
PD 99999 23 00001,PD,99999,2023,09/01/2023,1
PC 93010 22 B0012,PC,93010,2022,01/04/2022,0
DP 93010 21 B0097,DP,93010,2021,19/05/2021,0
DP 93010 21 B0096,DP,93010,2021,23/07/2021,0
DP 93010 21 B0107,DP,93010,2021,04/06/2021,0
PC 93010 18 B0069 M01,PC,93010,2022,06/07/2022,0
PC 93010 21 B0039,PC,93010,2021,18/05/2021,0
DP 93010 21 B0101,DP,93010,2021,25/05/2021,0
DP 93010 21 B0104,DP,93010,2021,13/07/2021,0
DP 93010 22 00046,DP,93010,2022,04/04/2022,0
DP 93010 21 B0117,DP,93010,2021,09/06/2021,0
DP 93010 21 B0114,DP,93010,2021,14/06/2021,0
DP 93010 22 B0046,DP,93010,2022,21/07/2022,0
DP 93010 21 B0098,DP,93010,2021,20/05/2021,0
DP 93010 21 B0154,DP,93010,2021,29/07/2021,0
DP 93010 22 B0113,DP,93010,2022,26/07/2022,1
DP 93010 23 B0189,DP,93010,2023,05/12/2023,1
DP 93010 22 B0139,DP,93010,2022,23/09/2022,0
PC 93010 21 B0053,PC,93010,2021,09/07/2021,0
DP 93010 22 B0106,DP,93010,2022,29/06/2022,0
DP 93010 21 B0137,DP,93010,2021,05/07/2021,0
DP 93010 21 B0131,DP,93010,2021,25/06/2021,0
DP 93010 21 B0127,DP,93010,2021,22/06/2021,0
DP 93010 21 B0106,DP,93010,2021,04/06/2021,0
DP 93010 22 B0079,DP,93010,2022,25/05/2022,0
PC 93010 22 B0013,PC,93010,2022,01/04/2022,0
PC 93010 21 B0049,PC,93010,2021,23/06/2021,0
PC 93010 21 B0038,PC,93010,2021,18/05/2021,0
PC 93010 22 B0051,PC,93010,2022,01/08/2022,0
DP 93010 21 B0099,DP,93010,2021,26/07/2021,0
PD 93010 22 B0003,PD,93010,2022,20/07/2022,0
DP 93010 22 B0114,DP,93010,2022,02/08/2022,1
DP 93010 22 B0121,DP,93010,2022,10/08/2022,1
DP 93010 22 B0119,DP,93010,2022,09/08/2022,1
PC 93010 21 B0017 M01,PC,93010,2021,11/10/2021,0
PC 93010 22 B0055,PC,93010,2022,09/09/2022,0
DP 93010 22 B0122,DP,93010,2022,10/08/2022,1
PC 93010 19 B0030 M01,PC,93010,2021,15/11/2021,0
DP 93010 22 B0126,DP,93010,2022,25/08/2022,1
DP 93010 22 B0127,DP,93010,2022,25/08/2022,1
DP 93010 22 B0101,DP,93010,2022,04/07/2022,0
PC 93010 21 B0078,PC,93010,2021,26/10/2021,0
DP 93010 22 B0039,DP,93010,2022,17/03/2022,0
DP 93010 21 B0189,DP,93010,2021,15/10/2021,0
DP 93010 22 B0085,DP,93010,2022,02/06/2022,0
DP 93010 22 B0128,DP,93010,2022,29/08/2022,0
PC 93010 21 B0076,PC,93010,2021,18/10/2021,0
PC 93010 21 B0097 M01,PC,93010,2022,30/08/2022,0
PC 93010 21 B0033,PC,93010,2021,11/05/2021,0
PC 93010 22 B0028,PC,93010,2022,16/05/2022,1
PC 93010 21 B0025,PC,93010,2021,13/04/2021,0
PC 93010 21 B0030,PC,93010,2021,07/05/2021,0
DP 93010 22 B0027,DP,93010,2022,25/02/2022,1
DP 93010 22 B0120,DP,93010,2022,10/08/2022,0
PC 93010 22 B0037,PC,93010,2022,11/06/2022,1
DP 93010 22 B0135,DP,93010,2022,09/09/2022,0
DP 93010 22 B0134,DP,93010,2022,05/09/2022,0
PC 93010 22 B0048,PC,93010,2022,21/07/2022,0
PC 93010 20 B0076,PC,93010,2020,07/12/2020,0
DP 93010 22 B0109,DP,93010,2022,20/07/2022,0
DP 93010 22 B0032,DP,93010,2022,08/03/2022,1
DP 93010 22 B0078,DP,93010,2022,24/05/2022,0
DP 93010 22 B0077,DP,93010,2022,11/05/2022,0
PC 93010 21 00042,PC,93010,2021,28/05/2021,0
PC 93010 22 00054,PC,93010,2022,06/09/2022,1
PC 93010 21 B0096,PC,93010,2021,15/12/2021,0
PC 93010 21 B0101,PC,93010,2021,20/12/2021,0
DP 93010 22 B0148,DP,93010,2022,05/10/2022,1
DP 93010 22 B0118,DP,93010,2022,09/08/2022,0
DP 93010 22 B0115,DP,93010,2022,04/08/2022,0
PC 93010 21 B0017,PC,93010,2021,16/03/2021,0
PC 93010 21 B0073,PC,93010,2021,28/09/2021,0
DP 93010 22 B0001,DP,93010,2022,07/01/2022,0
PD 93010 22 B0007,PD,93010,2022,15/09/2022,0
PD 93010 22 B0006,PD,93010,2022,15/09/2022,0
DP 93010 22 B0073,DP,93010,2022,16/05/2022,1
DP 93010 22 B0123,DP,93010,2022,18/08/2022,1
PC 93010 21 B0034 M01,PC,93010,2021,14/09/2021,0
PC 93010 21 B0016,PC,93010,2021,15/03/2021,0
PC 93010 21 B0083,PC,93010,2021,16/11/2021,0
DP 93010 22 B0112,DP,93010,2022,29/07/2022,0
PC 93010 22 B0053,PC,93010,2022,19/08/2022,0
DP 93010 22 B0067,DP,93010,2022,10/05/2022,0
PC 93010 22 B0057,PC,93010,2022,27/09/2022,0
DP 93010 23 B0029,DP,93010,2023,20/02/2023,0
DP 93010 22 00141,DP,93010,2022,28/09/2022,0
DP 93010 22 B0136,DP,93010,2022,22/09/2022,0
PC 93010 19 B0018 M01,PC,93010,2023,10/01/2023,0
DP 93010 22 B0133,DP,93010,2022,08/09/2022,1
PD 93010 22 B0004,PD,93010,2022,09/08/2022,1
DP 93010 22 B0116,DP,93010,2022,04/08/2022,0
DP 93010 22 B0149,DP,93010,2022,06/10/2022,0
PD 93010 22 B0005,PD,93010,2022,09/09/2022,0
PC 93010 21 B0034,PC,93010,2021,11/05/2021,0
DP 93010 21 B0118,DP,93010,2021,10/06/2021,0
DP 93010 22 B0025,DP,93010,2022,24/02/2022,1
PC 93010 24 B0035,PC,93010,2024,27/07/2024,1
PC 93010 21 B0074,PC,93010,2021,06/10/2021,0
DP 93010 22 B0092,DP,93010,2022,14/06/2022,0
PC 93010 20 B0052,PC,93010,2020,14/08/2020,0
DP 93010 22 B0142,DP,93010,2022,28/09/2022,0
DP 93010 22 B0129,DP,93010,2022,29/08/2022,1
DP 93010 22 B0130,DP,93010,2022,31/08/2022,0
PC 93010 21 B0082,PC,93010,2021,10/11/2021,0
DP 93010 22 B0150,DP,93010,2022,12/10/2022,1
DP 93010 24 B0019,DP,93010,2024,12/02/2024,1
DP 93010 22 B0132,DP,93010,2022,01/09/2022,0
DP 93010 23 B0041,DP,93010,2023,14/03/2023,1
PC 93010 22 B0017,PC,93010,2022,15/04/2022,1
PC 93010 20 B0080,PC,93010,2020,16/12/2020,0
DP 93010 22 B0074,DP,93010,2022,16/05/2022,1
PC 93010 21 B0075,PC,93010,2021,15/10/2021,0
DP 93010 21 B0143,DP,93010,2021,21/07/2021,0
PC 93010 20 B0052 M01,PC,93010,2022,04/10/2022,0
PC 93010 21 B0103,PC,93010,2021,24/12/2021,0
PC 93010 21 B0035,PC,93010,2021,11/05/2021,0
PC 93010 22 B0043,PC,93010,2022,08/07/2022,0
DP 93010 22 B0147,DP,93010,2022,30/09/2022,0
DP 93010 22 B0182,DP,93010,2022,05/12/2022,0
DP 93010 22 B0158,DP,93010,2022,24/10/2022,0
PC 93010 22 B0061,PC,93010,2022,08/11/2022,1
DP 93010 22 B0179,DP,93010,2022,30/11/2022,0
PC 93010 22 B0058,PC,93010,2022,28/09/2022,0
DP 93010 23 B0005,DP,93010,2023,12/01/2023,1
PC 93010 22 B0060,PC,93010,2022,04/11/2022,0
PC 93010 22 00065,PC,93010,2022,13/12/2022,0
PC 93010 17 B0042,PC,93010,2017,04/07/2017,0
PC 93010 19 B0068 M01,PC,93010,2022,28/10/2022,0
PC 93010 21 B0081,PC,93010,2021,02/11/2021,0
DP 93010 22 B0152,DP,93010,2022,14/10/2022,1
DP 93010 22 B0167,DP,93010,2022,08/11/2022,1
PC 99999 23 00003,PC,99999,2023,09/01/2023,1
DP 93010 22 B0178,DP,93010,2022,29/11/2022,0
PC 93010 22 B0052,PC,93010,2022,08/08/2022,0
PC 93010 19 B0068,PC,93010,2019,03/12/2019,0
DP 93010 22 B0173,DP,93010,2022,23/11/2022,0
PC 93010 22 B0073,PC,93010,2022,31/12/2022,1
PC 93010 17 B0042 M01,PC,93010,2020,31/07/2020,0
DP 93010 23 B0014,DP,93010,2023,20/01/2023,0
PC 93010 22 B0064,PC,93010,2022,12/12/2022,1
PC 93010 23 B0014,PC,93010,2023,27/03/2023,1
DP 93010 22 B0176,DP,93010,2022,25/11/2022,0
DP 93010 22 B0181,DP,93010,2022,06/12/2022,1
DP 93010 22 B0177,DP,93010,2022,25/11/2022,0
DP 93010 22 00140,DP,93010,2022,28/09/2022,0
DP 93010 22 B0138,DP,93010,2022,26/09/2022,1
DP 93010 22 B0153,DP,93010,2022,18/10/2022,1
DP 93010 22 B0170,DP,93010,2022,17/11/2022,0
DP 93010 22 B0104,DP,93010,2022,29/06/2022,0
PC 99999 23 00006,PC,99999,2023,10/01/2023,1
DP 93010 22 B0187,DP,93010,2022,22/12/2022,0
DP 93010 22 B0186,DP,93010,2022,21/12/2022,1
DP 93010 22 B0159,DP,93010,2022,24/10/2022,0
DP 93010 22 B0189,DP,93010,2022,29/12/2022,0
PC 93010 22 B0029,PC,93010,2022,16/05/2022,1
PC 93010 22 B0066,PC,93010,2022,22/12/2022,0
DP 93010 22 00157,DP,93010,2022,26/10/2022,0
DP 93010 22 00162,DP,93010,2022,03/11/2022,1
DP 93010 22 B0154,DP,93010,2022,19/10/2022,0
