"","COLONNES","NATURE","FORMAT","EXEMPLE","NA.","NA..1","NA..2"
"30","Liquidateur","Nom prénom Liquidateur","TEXTE (100)","DURAND Stéphanie",NA,NA,NA
"31","Complexité","Complexité du dossier","TEXTE (100)","Complexité moyenne",NA,NA,NA
"32","Dépôt en mairie","Date dépôt en mairie","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"33","Réception DDE","Date réception DDE","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"34","Complétude","Date complétude","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"35","Notification majoration","Date notification majoration","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"36","DLI","Date limite d'instruction","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"37","Date envoi demande de pièces","Date envoi demande de pièces","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"38","Date notification demande de pièces","Date notification demande de pièces","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"39","Date envoi délai majoration","Date envoi délai majoration","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"40","Date notification délai majoration","Date notification délai majoration","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"41","Service consulté","Service consulté et date de consultation","TEXTE (100) - concaténation Nom du service et date de consultation","ERDF 24/08/2009","En cas de consultation de plusieurs services, il faut dupliquer les lignes en différenciant uniquement les 3 champs en jaune.",NA,NA
"42","Proposition service","Proposition service","TEXTE (100)","Favorable",NA,NA,NA
"43","Date proposition service","Date proposition service","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"44","Date transmission proposition","Date transmission proposition","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"45","Date instruction terminée","Date instruction terminée","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"46","Date accord tacite","Date accord tacite","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"47","Date de rejet tacite","Date de rejet tacite","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"48","Date de refus tacite","Date de refus tacite","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"49","Date de décision","Date de décision","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"50","Date notification décision","Date notification décision","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"51","Nature décision","Nature décision","TEXTE (100)","Favorable",NA,NA,NA
"52","Récolement","Type de récolement","TEXTE (100)","Récolement obligatoire",NA,NA,NA
"53","DOC","Date ouverture de chantier","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"54","DAACT","Date achèvement travaux","TEXTE (10) - format ""DD/MM/YYYY""","43409",NA,NA,NA
"55","Type Evolution","Evolution dossier","TEXTE (100)","Transfert",NA,NA,NA
"56","Statut Evolution","Statut Evolution","TEXTE (100)","Décision notifiée au demandeur",NA,NA,NA
"57","Statut dernières taxes","Statut dernières taxes","TEXTE (100)","Taxable (calcul édité)",NA,NA,NA
"58","Statut dernière RAP","Statut dernière RAP","TEXTE (100)","Exonéré",NA,NA,NA
