ID,degat,degatBT,etendueBT,symptomeBT,degatBD,etendueBD,symptomeBD,degatOH,etendueOH,symptomeOH,degatOPAut,etendueOPAut,symptomeOPAut,degatOP,etendueOP,symptomeOP,degatTriticale,etendueTriticale,symptomeTriticale,degatMais,etendueMais,symptomeMais,facteurs,cp
120,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,dégâts sur des semis du 20-25 octobre2020 ,45130
121,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,VARIETES PRECOCES /SEMIS DIRECT PLUS TOUCHE/ ARGILO CALCAIRE PLUS TOUCHE,45390/45320
122,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,"Izalco, stade avancé",45170
123,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,betteraves gelées a 95 %,45520
124,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,45130
125,Oui,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Pois d hiver 50% de gel.  colza   hampe principale 40%.,28150
126,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,"Blé tendre variété macaron, jaunissement de l’extrémité des feuilles sur cesario",37370
127,Non,,,,,,,,,,,,,,,,,,,,,,,28330
128,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,CELA CONCERNE 9 HA DE BETTERAVES,28140
129,Non,,,,,,,,,,,,,,,,,,,,,,,28800
130,Non,,,,,,,,,,,,,,,,,,,,,,,41360
131,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28260
132,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,dégât sur colza 80 a90 % dans certaine parcelle.amplificateur o.p. non roulé ,37310
133,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Stade.,28160
134,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,,37350
135,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Non,,,,45490
136,Oui,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Non,,,La culture n'était pas semée lors du gel,,,,45410
137,Oui,Non,,,Je ne sais pas,,,Non,,,Non,,,,,,Non,,,Non,,,,28140
138,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,,41360
139,Oui,Je ne sais pas,,,Non,,,Je ne sais pas,,,Non,,,,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,pour l'instant je n'observe pas pour il faut attendre que la vegetation reprenne .,28240
140,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,28200
141,Non,,,,,,,,,,,,,,,,,,,,,,,37330
142,Oui,Non,,,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,28140
143,Non,,,,,,,,,,,,,,,,,,,,,,,28190
144,Oui,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,28220
145,Non,,,,,,,,,,,,,,,,,,,,,,,37500
146,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,"blé apache plus marqué, ",41190
147,Oui,Non,,,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,non,28800
148,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28480
149,Oui,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Stade,28160
150,Non,,,,,,,,,,,,,,,,,,,,,,,36600
151,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,"Pas pour l'instant. En fait, je ne sais pas identifier un épi gelé d'un épi sain au stade deux noeuds... Il se peut qu'on observe des épillets vides ou blancs, mais ce sera plus tard.",28160
152,Non,,,,,,,,,,,,,,,,,,,,,,,28800
153,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,36100
154,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,36000
155,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Non,,,,36500
156,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Non,,,Non,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,variete  galibier seme le 05/11,18290
157,Oui,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Non,,,stade,28360
158,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,"Les blés les plus avancés, semés autour du 15 octobre",18160
159,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,36110
160,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,18290
161,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,Dégâts  sur colza,36210
162,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;Destruction de maitres-brins;,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,variété et exposition venteuse,36100
163,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Non,,,,,,Je ne sais pas,,,Non,,,BETTERAVES GELEES A 100pour cent,45520
164,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,,28150
165,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,36110
166,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Non ,18800 
167,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,blés améliorants précoces type Galibier,28150
168,Non,,,,,,,,,,,,,,,,,,,,,,,77170
169,Oui,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,,45490
170,Non,,,,,,,,,,,,,,,,,,,,,,,41290
171,Oui,Je ne sais pas,,,Je ne sais pas,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,Stade de la culture,41800
172,Non,,,,,,,,,,,,,,,,,,,,,,,28300
173,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,36320
174,Oui,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Non,,,La culture n'était pas semée lors du gel,,,,87190
175,Oui,Non,,,Non,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,36340
176,Non,,,,,,,,,,,,,,,,,,,,,,,18310
177,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Ras,36120
178,Oui,Non,,,Non,,,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Non,,,désolé non,18390
179,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Non c est le colza le plus touché ,18140
180,Non,,,,,,,,,,,,,,,,,,,,,,,41240
181,Non,,,,,,,,,,,,,,,,,,,,,,,18290
182,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,"pas de stade specifique pour le gel cereales , mais pas specialement du gel sur feuille , plutot des observations des degats de gel sur epis (epis necrosés ).",18340
183,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Intervention chimique ,36120
184,Non,,,,,,,,,,,,,,,,,,,,,,,91600
185,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,cuvette de parcelle,45140
186,Non,,,,,,,,,,,,,,,,,,,,,,,28160
187,Non,,,,,,,,,,,,,,,,,,,,,,,18410
188,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,Plus important dans les zones très sableuses,45510
189,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Dégâts important en terre superficielle ,18130
190,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,"Seulement sur variété ""oregrain"" ,à proximité des bois ou des haies  ou  dans les fonds de vallée ",18370
191,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Non,,,Non,,,Pulverisation inixo + Belize sur blé ,18350
192,Oui,Je ne sais pas,,,Je ne sais pas,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Je ne sais pas,,,,,,Non,,,Non,,,stade du au semis précoces,45110
193,Non,,,,,,,,,,,,,,,,,,,,,,,36100
194,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,,18220
195,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,18300
196,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,63350
197,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Oui,Localisés (entre 5 et 30%),Destruction totale (les tiges sont toutes gelées);Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,Non,,,COMPLICE en variété de BTH.,18250
198,Non,,,,,,,,,,,,,,,,,,,,,,,37350
199,Non,,,,,,,,,,,,,,,,,,,,,,,413330
200,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,36340
201,Non,,,,,,,,,,,,,,,,,,,,,,,18800
202,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Non,,,,,,Non,,,La culture n'était pas semée lors du gel,,,Sur variété précoce à très précose ,87440 
203,Non,,,,,,,,,,,,,,,,,,,,,,,19220
204,Oui,Je ne sais pas,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,début épiaison,36120
205,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Non,,,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Non,,,Non,,,Garcia ,36100
206,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,STADE EPI 3CM,18340
207,Oui,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,28140
208,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,Gel d'épi,36150
209,Non,,,,,,,,,,,,,,,,,,,,,,,41240
210,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,non,18300
211,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,Non ,18220
212,Oui,Non,,,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,Non,,,AXIAL PRATIC 15 jours avant,18340
213,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,non,36120
214,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,stade avancée en blé tendre,41160
215,Non,,,,,,,,,,,,,,,,,,,,,,,36100
216,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28210 
217,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,28260
218,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Fond de val le monde d’un fossé ,18340
219,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,45140
220,Oui,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,,36600
221,Non,,,,,,,,,,,,,,,,,,,,,,,45620
222,Oui,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Non,,,,45410
223,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,,28140
224,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,Non,,,Non,,,,,,Non,,,Non,,,ble forcali,45390
225,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,36100
226,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,,45300
227,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,41160
228,Oui,Je ne sais pas,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,oui variété ,36110
229,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Non,,,Le stade de la culture. ,45260 
230,Oui,Je ne sais pas,,,Non,,,Je ne sais pas,,,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Non,,,Non,,,Orge de primptemps pied entièrement gelee,18340
231,Oui,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Stade plus avancé ,36330
232,Non,,,,,,,,,,,,,,,,,,,,,,,41500
