"TYPEQU";"LIB_TYPEQU";"SDOM";"LIB_SDOM";"DOM";"LIB_DOM"
"A206";"BUREAU DE POSTE";"A2";"SERVICES GÉNÉRAUX";"A";"SERVICES AUX PARTICULIERS"
"A207";"RELAIS POSTE";"A2";"SERVICES GÉNÉRAUX";"A";"SERVICES AUX PARTICULIERS"
"A208";"AGENCE POSTALE";"A2";"SERVICES GÉNÉRAUX";"A";"SERVICES AUX PARTICULIERS"
"A301";"RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE";"A3";"SERVICES AUTOMOBILES";"A";"SERVICES AUX PARTICULIERS"
"A302";"CONTRÔLE TECHNIQUE AUTOMOBILE";"A3";"SERVICES AUTOMOBILES";"A";"SERVICES AUX PARTICULIERS"
"A303";"LOCATION AUTO-UTILITAIRES LÉGERS";"A3";"SERVICES AUTOMOBILES";"A";"SERVICES AUX PARTICULIERS"
"A304";"ÉCOLE DE CONDUITE";"A3";"SERVICES AUTOMOBILES";"A";"SERVICES AUX PARTICULIERS"
"A401";"MAÇON";"A4";"ARTISANAT DU BÂTIMENT";"A";"SERVICES AUX PARTICULIERS"
"A402";"PLÂTRIER PEINTRE";"A4";"ARTISANAT DU BÂTIMENT";"A";"SERVICES AUX PARTICULIERS"
"A403";"MENUISIER CHARPENTIER SERRURIER";"A4";"ARTISANAT DU BÂTIMENT";"A";"SERVICES AUX PARTICULIERS"
"A404";"PLOMBIER COUVREUR CHAUFFAGISTE";"A4";"ARTISANAT DU BÂTIMENT";"A";"SERVICES AUX PARTICULIERS"
"A405";"ÉLECTRICIEN";"A4";"ARTISANAT DU BÂTIMENT";"A";"SERVICES AUX PARTICULIERS"
"A406";"ENTREPRISE GÉNÉRALE DU BÂTIMENT";"A4";"ARTISANAT DU BÂTIMENT";"A";"SERVICES AUX PARTICULIERS"
"A501";"COIFFURE";"A5";"AUTRES SERVICES À LA POPULATION";"A";"SERVICES AUX PARTICULIERS"
"A502";"VÉTÉRINAIRE";"A5";"AUTRES SERVICES À LA POPULATION";"A";"SERVICES AUX PARTICULIERS"
"A503";"AGENCE DE TRAVAIL TEMPORAIRE";"A5";"AUTRES SERVICES À LA POPULATION";"A";"SERVICES AUX PARTICULIERS"
"A504";"RESTAURANT- RESTAURATION RAPIDE";"A5";"AUTRES SERVICES À LA POPULATION";"A";"SERVICES AUX PARTICULIERS"
"A505";"AGENCE IMMOBILIÈRE";"A5";"AUTRES SERVICES À LA POPULATION";"A";"SERVICES AUX PARTICULIERS"
"A506";"PRESSING-LAVERIE AUTOMATIQUE";"A5";"AUTRES SERVICES À LA POPULATION";"A";"SERVICES AUX PARTICULIERS"
"A507";"INSTITUT DE BEAUTÉ-ONGLERIE";"A5";"AUTRES SERVICES À LA POPULATION";"A";"SERVICES AUX PARTICULIERS"
"B101";"HYPERMARCHÉ";"B1";"GRANDES SURFACES";"B";"COMMERCES"
"B102";"SUPERMARCHÉ";"B1";"GRANDES SURFACES";"B";"COMMERCES"
"B103";"GRANDE SURFACE DE BRICOLAGE";"B1";"GRANDES SURFACES";"B";"COMMERCES"
"B201";"SUPÉRETTE";"B2";"COMMERCES ALIMENTAIRES";"B";"COMMERCES"
"B202";"ÉPICERIE";"B2";"COMMERCES ALIMENTAIRES";"B";"COMMERCES"
"B203";"BOULANGERIE";"B2";"COMMERCES ALIMENTAIRES";"B";"COMMERCES"
"B204";"BOUCHERIE CHARCUTERIE";"B2";"COMMERCES ALIMENTAIRES";"B";"COMMERCES"
"B205";"PRODUITS SURGELÉS";"B2";"COMMERCES ALIMENTAIRES";"B";"COMMERCES"
"B206";"POISSONNERIE";"B2";"COMMERCES ALIMENTAIRES";"B";"COMMERCES"
"B301";"LIBRAIRIE, PAPETERIE, JOURNAUX";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B302";"MAGASIN DE VÊTEMENTS";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B303";"MAGASIN D’ÉQUIPEMENTS DU FOYER";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B304";"MAGASIN DE CHAUSSURES";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B305";"MAGASIN D’ÉLECTROMÉNAGER ET DE MAT. AUDIO-VIDEO";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B306";"MAGASIN DE MEUBLES";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B307";"MAGASIN D’ARTICLES DE SPORTS ET DE LOISIRS";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B308";"MAGASIN DE REVÊTEMENTS MURS ET SOLS";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B309";"DROGUERIE QUINCAILLERIE BRICOLAGE";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B310";"PARFUMERIE-COSMÉTIQUE";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B311";"HORLOGERIE-BIJOUTERIE";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B312";"FLEURISTE-JARDINERIE-ANIMALERIE";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B313";"MAGASIN D’OPTIQUE";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B315";"MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"B316";"STATION-SERVICE";"B3";"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES";"B";"COMMERCES"
"C101";"ÉCOLE MATERNELLE";"C1";"ENSEIGNEMENT DU PREMIER DEGRÉ";"C";"ENSEIGNEMENT"
"C102";"ÉCOLE MATERNELLE DE REGROUPEMENT PÉDAGOGIQUE INTERCOMMUNAL (RPI) DISPERSÉ";"C1";"ENSEIGNEMENT DU PREMIER DEGRÉ";"C";"ENSEIGNEMENT"
"C104";"ÉCOLE ÉLÉMENTAIRE";"C1";"ENSEIGNEMENT DU PREMIER DEGRÉ";"C";"ENSEIGNEMENT"
"C105";"ÉCOLE ÉLÉMENTAIRE DE REGROUPEMENT PÉDAGOGIQUE INTERCOMMUNAL (RPI) DISPERSÉ";"C1";"ENSEIGNEMENT DU PREMIER DEGRÉ";"C";"ENSEIGNEMENT"
"C201";"COLLÈGE";"C2";"ENSEIGNEMENT DU SECOND DEGRÉ PREMIER CYCLE";"C";"ENSEIGNEMENT"
"C301";"LYCÉE D’ENSEIGNEMENT GÉNÉRAL ET/OU TECHNOLOGIQUE";"C3";"ENSEIGNEMENT DU SECOND DEGRÉ SECOND CYCLE";"C";"ENSEIGNEMENT"
"C302";"LYCÉE D’ENSEIGNEMENT PROFESSIONNEL";"C3";"ENSEIGNEMENT DU SECOND DEGRÉ SECOND CYCLE";"C";"ENSEIGNEMENT"
"C303";"LYCÉE D’ENSEIGNEMENT TECHNIQUE ET/OU PROFESSIONNEL AGRICOLE";"C3";"ENSEIGNEMENT DU SECOND DEGRÉ SECOND CYCLE";"C";"ENSEIGNEMENT"
"C304";"SGT SECTION D’ENSEIGNEMENT GÉNÉRAL ET TECHNOLOGIQUE";"C3";"ENSEIGNEMENT DU SECOND DEGRÉ SECOND CYCLE";"C";"ENSEIGNEMENT"
"C305";"SEP SECTION D’ENSEIGNEMENT PROFESSIONNEL";"C3";"ENSEIGNEMENT DU SECOND DEGRÉ SECOND CYCLE";"C";"ENSEIGNEMENT"
"C401";"STS SECTION TECHNICIEN SUPÉRIEUR, CPGE CLASSE PRÉPARATOIRE AUX GRANDES ÉCOLES";"C4";"ENSEIGNEMENT SUPÉRIEUR NON UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C402";"FORMATION SANTÉ";"C4";"ENSEIGNEMENT SUPÉRIEUR NON UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C403";"FORMATION COMMERCE";"C4";"ENSEIGNEMENT SUPÉRIEUR NON UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C409";"AUTRE FORMATION POST BAC NON UNIVERSITAIRE";"C4";"ENSEIGNEMENT SUPÉRIEUR NON UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C501";"UFR";"C5";"ENSEIGNEMENT SUPÉRIEUR UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C502";"INSTITUT UNIVERSITAIRE";"C5";"ENSEIGNEMENT SUPÉRIEUR UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C503";"ÉCOLE D’INGÉNIEURS";"C5";"ENSEIGNEMENT SUPÉRIEUR UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C504";"ENSEIGNEMENT GÉNÉRAL SUPÉRIEUR PRIVÉ";"C5";"ENSEIGNEMENT SUPÉRIEUR UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C505";"ÉCOLE D’ENSEIGNEMENT SUPÉRIEUR AGRICOLE";"C5";"ENSEIGNEMENT SUPÉRIEUR UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C509";"AUTRE ENSEIGNEMENT SUPÉRIEUR";"C5";"ENSEIGNEMENT SUPÉRIEUR UNIVERSITAIRE";"C";"ENSEIGNEMENT"
"C601";"CENTRE DE FORMATION D’APPRENTIS HORS AGRICULTURE";"C6";"FORMATION CONTINUE";"C";"ENSEIGNEMENT"
"C602";"GRETA";"C6";"FORMATION CONTINUE";"C";"ENSEIGNEMENT"
"C603";"CENTRE DISPENSANT DE LA FORMATION CONTINUE AGRICOLE";"C6";"FORMATION CONTINUE";"C";"ENSEIGNEMENT"
"C604";"FORMATION AUX MÉTIERS DU SPORT";"C6";"FORMATION CONTINUE";"C";"ENSEIGNEMENT"
"C605";"CENTRE DISPENSANT DES FORMATIONS D’APPRENTISSAGE AGRICOLE";"C6";"FORMATION CONTINUE";"C";"ENSEIGNEMENT"
"C609";"AUTRE FORMATION CONTINUE";"C6";"FORMATION CONTINUE";"C";"ENSEIGNEMENT"
"C701";"RÉSIDENCE UNIVERSITAIRE";"C7";"AUTRES SERVICES DE L'ÉDUCATION";"C";"ENSEIGNEMENT"
"C702";"RESTAURANT UNIVERSITAIRE";"C7";"AUTRES SERVICES DE L'ÉDUCATION";"C";"ENSEIGNEMENT"
"D101";"ÉTABLISSEMENT SANTÉ COURT SÉJOUR";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D102";"ÉTABLISSEMENT SANTÉ MOYEN SÉJOUR";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D103";"ÉTABLISSEMENT SANTÉ LONG SÉJOUR";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D104";"ÉTABLISSEMENT PSYCHIATRIQUE";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D105";"CENTRE LUTTE CANCER";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D106";"URGENCES";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D107";"MATERNITÉ";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D108";"CENTRE DE SANTÉ";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D109";"STRUCTURE PSYCHIATRIQUE EN AMBULATOIRE";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D110";"CENTRE MÉDECINE PRÉVENTIVE";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D111";"DIALYSE";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D112";"HOSPITALISATION À DOMICILE";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D113";"MAISON DE SANTÉ PLURIDISCIPLINAIRE";"D1";"ETABLISSEMENTS ET SERVICES DE SANTÉ";"D";"SANTÉ ET ACTION SOCIALE"
"D201";"MÉDECIN GÉNÉRALISTE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D202";"SPÉCIALISTE EN CARDIOLOGIE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D203";"SPÉCIALISTE EN DERMATOLOGIE VÉNÉRÉOLOGIE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D206";"SPÉCIALISTE EN GASTRO-ENTÉROLOGIE HÉPATOLOGIE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D207";"SPÉCIALISTE EN PSYCHIATRIE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D208";"SPÉCIALISTE EN OPHTALMOLOGIE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D209";"SPÉCIALISTE EN OTO-RHINO-LARYNGOLOGIE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D210";"SPÉCIALISTE EN PÉDIATRIE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D211";"SPÉCIALISTE EN PNEUMOLOGIE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D212";"SPÉCIALISTE EN RADIODIAGNOSTIC ET IMAGERIE MÉDICALE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D213";"SPÉCIALISTE EN STOMATOLOGIE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D214";"SPÉCIALISTE EN GYNÉCOLOGIE (MÉDICALE ET/OU OBSTÉTRIQUE)";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D221";"CHIRURGIEN DENTISTE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D231";"SAGE-FEMME";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D232";"INFIRMIER";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D233";"MASSEUR KINÉSITHÉRAPEUTE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D235";"ORTHOPHONISTE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D236";"ORTHOPTISTE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D237";"PÉDICURE-PODOLOGUE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D238";"AUDIO PROTHÉSISTE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D239";"ERGOTHÉRAPEUTE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D240";"PSYCHOMOTRICIEN";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D242";"DIÉTÉTICIEN";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D243";"PSYCHOLOGUE";"D2";"FONCTIONS MÉDICALES ET PARA-MÉDICALES (À TITRE LIBÉRAL)";"D";"SANTÉ ET ACTION SOCIALE"
"D302";"LABORATOIRE D ANALYSES ET DE BIOLOGIE MÉDICALE";"D3";"AUTRES ÉTABLISSEMENTS ET SERVICES À CARACTÈRE SANITAIRE";"D";"SANTÉ ET ACTION SOCIALE"
"D303";"AMBULANCE";"D3";"AUTRES ÉTABLISSEMENTS ET SERVICES À CARACTÈRE SANITAIRE";"D";"SANTÉ ET ACTION SOCIALE"
"D304";"TRANSFUSION SANGUINE";"D3";"AUTRES ÉTABLISSEMENTS ET SERVICES À CARACTÈRE SANITAIRE";"D";"SANTÉ ET ACTION SOCIALE"
"D305";"ÉTABLISSEMENT THERMAL";"D3";"AUTRES ÉTABLISSEMENTS ET SERVICES À CARACTÈRE SANITAIRE";"D";"SANTÉ ET ACTION SOCIALE"
"D307";"PHARMACIE";"D3";"AUTRES ÉTABLISSEMENTS ET SERVICES À CARACTÈRE SANITAIRE";"D";"SANTÉ ET ACTION SOCIALE"
"D401";"PERSONNES ÂGÉES : HÉBERGEMENT";"D4";"ACTION SOCIALE POUR PERSONNES ÂGÉES";"D";"SANTÉ ET ACTION SOCIALE"
"D402";"PERSONNES ÂGÉES : SOINS À DOMICILE";"D4";"ACTION SOCIALE POUR PERSONNES ÂGÉES";"D";"SANTÉ ET ACTION SOCIALE"
"D403";"PERSONNES ÂGÉES : SERVICES D’AIDE";"D4";"ACTION SOCIALE POUR PERSONNES ÂGÉES";"D";"SANTÉ ET ACTION SOCIALE"
"D502";"ÉTABLISSEMENT D’ACCUEIL DU JEUNE ENFANT (EAJE)";"D5";"ACTION SOCIALE POUR ENFANTS EN BAS-ÂGE";"D";"SANTÉ ET ACTION SOCIALE"
"D601";"ENFANTS HANDICAPÉS : HÉBERGEMENT";"D6";"ACTION SOCIALE POUR HANDICAPÉS";"D";"SANTÉ ET ACTION SOCIALE"
"D602";"ENFANTS HANDICAPÉS : SERVICES À DOMICILE OU AMBULATOIRES";"D6";"ACTION SOCIALE POUR HANDICAPÉS";"D";"SANTÉ ET ACTION SOCIALE"
"D603";"ADULTES HANDICAPÉS : ACCUEIL/HÉBERGEMENT";"D6";"ACTION SOCIALE POUR HANDICAPÉS";"D";"SANTÉ ET ACTION SOCIALE"
"D604";"ADULTES HANDICAPÉS : SERVICES D’AIDE";"D6";"ACTION SOCIALE POUR HANDICAPÉS";"D";"SANTÉ ET ACTION SOCIALE"
"D605";"TRAVAIL PROTÉGÉ";"D6";"ACTION SOCIALE POUR HANDICAPÉS";"D";"SANTÉ ET ACTION SOCIALE"
"D606";"ADULTES HANDICAPÉS : SERVICES DE SOINS À DOMICILE";"D6";"ACTION SOCIALE POUR HANDICAPÉS";"D";"SANTÉ ET ACTION SOCIALE"
"D701";"PROTECTION DE L’ENFANCE - HÉBERGEMENT";"D7";"AUTRES SERVICES D'ACTION SOCIALE";"D";"SANTÉ ET ACTION SOCIALE"
"D702";"PROTECTION DE L’ENFANCE - ACTION ÉDUCATIVE";"D7";"AUTRES SERVICES D'ACTION SOCIALE";"D";"SANTÉ ET ACTION SOCIALE"
"D703";"CHRS : CENTRE D’HÉBERGEMENT ET DE RÉINSERTION SOCIALE";"D7";"AUTRES SERVICES D'ACTION SOCIALE";"D";"SANTÉ ET ACTION SOCIALE"
"D704";"CENTRE PROVISOIRE D’HÉBERGEMENT";"D7";"AUTRES SERVICES D'ACTION SOCIALE";"D";"SANTÉ ET ACTION SOCIALE"
"D705";"CENTRE ACCUEIL DEMANDEUR D’ASILE";"D7";"AUTRES SERVICES D'ACTION SOCIALE";"D";"SANTÉ ET ACTION SOCIALE"
"D709";"AUTRES ÉTABLISSEMENTS POUR ADULTES ET FAMILLES EN DIFFICULTÉ";"D7";"AUTRES SERVICES D'ACTION SOCIALE";"D";"SANTÉ ET ACTION SOCIALE"
"E101";"TAXI-VTC";"E1";"INFRASTRUCTURES DE TRANSPORTS";"E";"TRANSPORTS ET DÉPLACEMENTS"
"E102";"AÉROPORT";"E1";"INFRASTRUCTURES DE TRANSPORTS";"E";"TRANSPORTS ET DÉPLACEMENTS"
"E107";"GARE DE VOYAGEURS D’INTÉRÊT NATIONAL";"E1";"INFRASTRUCTURES DE TRANSPORTS";"E";"TRANSPORTS ET DÉPLACEMENTS"
"E108";"GARE DE VOYAGEURS D’INTÉRÊT RÉGIONAL";"E1";"INFRASTRUCTURES DE TRANSPORTS";"E";"TRANSPORTS ET DÉPLACEMENTS"
"E109";"GARE DE VOYAGEURS D’INTÉRÊT LOCAL";"E1";"INFRASTRUCTURES DE TRANSPORTS";"E";"TRANSPORTS ET DÉPLACEMENTS"
"F101";"BASSIN DE NATATION";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F102";"BOULODROME";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F103";"TENNIS";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F104";"ÉQUIPEMENT DE CYCLISME";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F105";"DOMAINE SKIABLE";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F106";"CENTRE ÉQUESTRE";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F107";"ATHLÉTISME";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F108";"TERRAIN DE GOLF";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F109";"PARCOURS SPORTIF/SANTÉ";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F110";"SPORTS DE GLACE";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F111";"PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F112";"SALLES SPÉCIALISÉES";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F113";"TERRAINS DE GRANDS JEUX";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F114";"SALLES DE COMBAT";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F116";"SALLES NON SPÉCIALISÉES";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F117";"ROLLER-SKATE-VÉLO BICROSS OU FREESTYLE";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F118";"SPORTS NAUTIQUES";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F119";"BOWLING";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F120";"SALLES DE REMISE EN FORME";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F121";"SALLES MULTISPORTS (GYMNASES)";"F1";"ÉQUIPEMENTS SPORTIFS";"F";"SPORTS, LOISIRS ET CULTURE"
"F201";"BAIGNADE AMENAGÉE";"F2";"ÉQUIPEMENTS DE LOISIRS";"F";"SPORTS, LOISIRS ET CULTURE"
"F202";"PORT DE PLAISANCE – MOUILLAGE";"F2";"ÉQUIPEMENTS DE LOISIRS";"F";"SPORTS, LOISIRS ET CULTURE"
"F203";"BOUCLE DE RANDONNÉE";"F2";"ÉQUIPEMENTS DE LOISIRS";"F";"SPORTS, LOISIRS ET CULTURE"
