COLONNES,NATURE,FORMAT,EXEMPLE,MAIRIE,MAIRIE 2,,num col,nom col
AFU,terrain partie d’un remembrement urbain,"TEXTE (3) - ""Oui""/""Non""",Oui,,,,24,date d'affichage Mairie
Détail ZAC AFU,,TEXTE (100),,,,,25,AUTRES AFFICHAGES
Autorité,Compétence du dossier,TEXTE (100),Le maire Au nom de la commune,,,,,
Etat,Etat du dossier,TEXTE (100),Décision notifiée au demandeur,A DEDUIRE,,,,
Centre instructeur,Nom centre instructeur,TEXTE (100),D.D.T.  POLE ADS SUD,,,,,
Instructeur,Nom prénom Instructeur,TEXTE (100),DURAND Stéphanie,,,,,
Liquidateur,Nom prénom Liquidateur,TEXTE (100),DURAND Stéphanie,,,,,
Complexité,Complexité du dossier,TEXTE (100),Complexité moyenne,,,,,
Dépôt en mairie,Date dépôt en mairie,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,date de la demande,,,,
Réception DDE,Date réception DDE,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Complétude,Date complétude,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Notification majoration,Date notification majoration,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
DLI,Date limite d'instruction,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Date envoi demande de pièces,Date envoi demande de pièces,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Date notification demande de pièces,Date notification demande de pièces,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Date envoi délai majoration,Date envoi délai majoration,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Date notification délai majoration,Date notification délai majoration,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Service consulté,Service consulté et date de consultation,TEXTE (100) - concaténation Nom du service et date de consultation,ERDF 24/08/2009,,,,,
Proposition service,Proposition service,TEXTE (100),Favorable,,,,,
Date proposition service,Date proposition service,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Date transmission proposition,Date transmission proposition,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Date instruction terminée,Date instruction terminée,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,date de la décision autorisation,,,,
Date accord tacite,Date accord tacite,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Date de rejet tacite,Date de rejet tacite,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Date de refus tacite,Date de refus tacite,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,date de la décision refus,,,,
Date de décision,Date de décision,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Date notification décision,Date notification décision,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,date d'affichage Mairie,,,,
Nature décision,Nature décision,TEXTE (100),Favorable,A DEDUIRE,,,,
Récolement,Type de récolement,TEXTE (100),Récolement obligatoire,,,,,
DOC,Date ouverture de chantier,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
DAACT,Date achèvement travaux,"TEXTE (10) - format ""DD/MM/YYYY""",05/11/2018,,,,,
Type Evolution,Evolution dossier,TEXTE (100),Transfert,,,,,
Statut Evolution,Statut Evolution,TEXTE (100),Décision notifiée au demandeur,,,,,
Statut dernières taxes,Statut dernières taxes,TEXTE (100),Taxable (calcul édité),,,,,
Statut dernière RAP,Statut dernière RAP,TEXTE (100),Exonéré,,,,,
