Activité;Enseigne;N°;rue;Téléphone;Canaux de distribution;Infos ;Mail;ville;cp;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district
Bar / Tabac;Le Cyrano;210;rue Edouard Vaillant;01 48 48 02 63;;;;Bondy;93140;48.894005;2.495717;210 Rue Edouard Vaillant 93140 Bondy;0.93;housenumber;93010_3115_00210;210;Rue Edouard Vaillant;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Bar / Tabac;Tabac Philippe Huor;24;avenue Suzanne Buisson;01 48 47 52 62 ;;;;Bondy;93140;48.913787;2.480715;24 Avenue Suzanne Buisson 93140 Bondy;0.92;housenumber;93010_8880_00024;24;Avenue Suzanne Buisson;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Bijouterie / Horlogerie;Claude Mouilleseaux;9;place Nicole Neuburger;01 48 02 96 72;;;;Bondy;93140;48.901835;2.490751;9 Place Nicole Neuburger 93140 Bondy;0.92;housenumber;93010_6651_00009;9;Place Nicole Neuburger;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;Abattoir de Bondy;5;chemin latéral;01 48 02 41 23;;;elouargui74@yahoo.fr;Bondy;93140;48.908329;2.478526;5 Chemin Latéral 93140 Bondy;0.91;housenumber;93010_5109_00005;5;Chemin Latéral;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;ADS;10;rue Louis-Auguste Blanqui;;;;;Bondy;93140;48.900172;2.47974;10 Rue Louis Auguste Blanqui 93140 Bondy;0.93;housenumber;93010_5170_00010;10;Rue Louis Auguste Blanqui;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;Boucherie Blanqui;47;rue Louis-Auguste Blanqui;;;;;Bondy;93140;48.899814;2.482775;47 Rue Louis Auguste Blanqui 93140 Bondy;0.93;housenumber;93010_5170_00047;47;Rue Louis Auguste Blanqui;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;Boucherie Bondy;22;avenue Suzanne Buisson;01 48 47 52 61;;;;Bondy;93140;48.913809;2.480545;22 Avenue Suzanne Buisson 93140 Bondy;0.92;housenumber;93010_8880_00022;22;Avenue Suzanne Buisson;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;Boucherie Madouni;57;avenue de la République;09 52 58 29 70;;;;Bondy;93140;48.900148;2.479499;57 Avenue de la République 93140 Bondy;0.93;housenumber;93010_8160_00057;57;Avenue de la République;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;Boucherie Méditérranée;16;avenue Suzanne Buisson;01 48 50 91 49;;;;Bondy;93140;48.913871;2.480248;16 Avenue Suzanne Buisson 93140 Bondy;0.92;housenumber;93010_8880_00016;16;Avenue Suzanne Buisson;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;Boucherie du Centre;63;rue Jules Guesde;01 48 48 34 61;;;;Bondy;93140;48.903376;2.479412;63 Rue Jules Guesde 93140 Bondy;0.91;housenumber;93010_4775_00063;63;Rue Jules Guesde;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;La Ferme de Bondy;55;rue Jules Guesde;01 88 49 61 36;;;;Bondy;93140;48.904097;2.479488;55 Rue Jules Guesde 93140 Bondy;0.91;housenumber;93010_4775_00055;55;Rue Jules Guesde;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;Le Petit Makla;31;avenue Henri Barbusse;09 86 71 02 79;;;;Bondy;93140;48.901975;2.484761;31 Avenue Henri Barbusse 93140 Bondy;0.92;housenumber;93010_4436_00031;31;Avenue Henri Barbusse;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie;K S boucherie;120;rue Roger Salengro;;;;;Bondy;93140;48.896206;2.477064;120 Rue Roger Salengro 93140 Bondy;0.92;housenumber;93010_8172_00120;120;Rue Roger Salengro;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boucherie ;Boucherie de la gare;140;rue Roger Salengro;09 52 95 35 39 ;;;;Bondy;93140;48.895378;2.47738;140 Rue Roger Salengro 93140 Bondy;0.92;housenumber;93010_8172_00140;140;Rue Roger Salengro;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;ADL;1;avenue Clara Grandet;01 48 48 91 57;Emporter;;;Bondy;93140;48.90989;2.48034;1 Avenue Clara Grandet 93140 Bondy;0.92;housenumber;93010_1510_00001;1;Avenue Clara Grandet;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Agri;10;rue Louis-Auguste Blanqui;;Emporter;;;Bondy;93140;48.900172;2.47974;10 Rue Louis Auguste Blanqui 93140 Bondy;0.93;housenumber;93010_5170_00010;10;Rue Louis Auguste Blanqui;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Au Pain de Jorelle;121;rue Edouard Vaillant;;Emporter;;;Bondy;93140;48.895224;2.4876;121 Rue Edouard Vaillant 93140 Bondy;0.93;housenumber;93010_3115_00121;121;Rue Edouard Vaillant;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Aux délices de Bondy;33;rue Jules Guesde;;Emporter;;;Bondy;93140;48.90364;2.477256;33 Rue Jules Guesde 93140 Bondy;0.91;housenumber;93010_4775_00033;33;Rue Jules Guesde;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Saveurs des pains;60;rue Jules Guesde;01 48 47 02 31;;;;Bondy;93140;48.903249;2.479319;60 Rue Jules Guesde 93140 Bondy;0.91;housenumber;93010_4775_00060;60;Rue Jules Guesde;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Le Fournil;95;rue Louis-Auguste Blanqui;01 48 47 08 82;Emporter;;;Bondy;93140;48.899482;2.482895;95 Rue Louis Auguste Blanqui 93140 Bondy;0.93;housenumber;93010_5170_00095;95;Rue Louis Auguste Blanqui;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Boulangerie de la Poste;43;rue Jean Jaurès;01 48 47 02 13;Emporter;;delaposte93@gmail.,com;Bondy;93140;48.900476;2.476604;43 Rue Jean Jaurés 93140 Bondy;0.91;housenumber;93010_4740_00043;43;Rue Jean Jaurés;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Boulangerie Saber;16;avenue Suzanne Buisson;01 48 47 68 79;Emporter;;;Bondy;93140;48.913871;2.480248;16 Avenue Suzanne Buisson 93140 Bondy;0.92;housenumber;93010_8880_00016;16;Avenue Suzanne Buisson;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Donnette;52 Bis;rue Roger Salengro;01 48 47 01 67;Emporter;;laurencedonnette@hotmail.fr;Bondy;93140;48.900499;2.478563;52bis Rue Roger Salengro 93140 Bondy;0.86;housenumber;93010_8172_00052_bis;52bis;Rue Roger Salengro;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Donuts et Ice;120;avenue de la République;;;;;Bondy;93140;48.895532;2.477778;120 Avenue de la République 93140 Bondy;0.93;housenumber;93010_8160_00120;120;Avenue de la République;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Haddad;1;rue Edouard Vaillant;;Emporter;;;Bondy;93140;48.896635;2.477274;1 Rue Edouard Vaillant 93140 Bondy;0.92;housenumber;93010_3115_00001;1;Rue Edouard Vaillant;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;La Gourmandise;70;avenue Anatole France;01 48 02 80 13;Emporter;;;Bondy;93140;48.892661;2.497794;70 Avenue Anatole France 93140 Bondy;0.92;housenumber;93010_0050_00070;70;Avenue Anatole France;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;La Huche à Pains;28;route de Villemomble;;Emporter;;;Bondy;93140;48.893518;2.480326;28 Route de Villemomble 93140 Bondy;0.92;housenumber;93010_9670_00028;28;Route de Villemomble;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;La Petite Sarthoise;1;place Nicole Neuburger;01 48 47 16 52;Emporter;;;Bondy;93140;48.901297;2.49043;1 Place Nicole Neuburger 93140 Bondy;0.92;housenumber;93010_6651_00001;1;Place Nicole Neuburger;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;La Petite Moderne;179;avenue Henri Barbusse;;Emporter;;;Bondy;93140;48.899668;2.498227;179 Avenue Henri Barbusse 93140 Bondy;0.93;housenumber;93010_4436_00179;179;Avenue Henri Barbusse;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;La Saveur unique ;47;place Nicole Neuburger;;Emporter;;;Bondy;93140;48.901069;2.491506;47 Place Nicole Neuburger 93140 Bondy;0.92;housenumber;93010_6651_00047;47;Place Nicole Neuburger;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;La Tradition du pain;2;place du 11 Novembre 1918;01 48 49 77 35;Emporter;;;Bondy;93140;48.902637;2.4824;2 Place du Onze Novembre 1918 93140 Bondy;0.75;housenumber;93010_6700_00002;2;Place du Onze Novembre 1918;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
Boulangerie;Le Délice;9;rue du Verger;;Emporter;;;Bondy;93140;48.919193;2.477614;9 Rue du Verger 93140 Bondy;0.9;housenumber;93010_9620_00009;9;Rue du Verger;;93140;Bondy;93, Seine-Saint-Denis, Île-de-France;93010;;;
