LISTE 41 NB;;010;BONDY                         ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
N°;Année de MAJ;Identifiant de la parcelle;Contenance de la parcelle;Adresse de la parcelle;Nom du propriétaire;Nature du changement;Parcelle mère;Ancienne sub. fiscale;Contenance de l'ancienne sub. fiscale;Série tarif de l'ancienne sub. fiscale;Nature de culture de l'ancienne sub. fiscale;Classe de l'ancienne sub. fiscale;Culture spéciale de l'ancienne sub. fiscale;Revenu cadastral 80 de l'ancienne sub. fiscale;Nouvelle sub. fiscale;Contenance de la nouvelle sub. fiscale;Série tarif de la nouvelle sub. fiscale;Nature de culture de la nouvelle sub. fiscale;Classe de la nouvelle sub. fiscale;Culture spéciale de la nouvelle sub. fiscale;Revenu cadastral 80 de la nouvelle sub. fiscale;         
00024;2022;     B 0367;    0 04 33;0000 LA NOUE CAILLET               ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;DA   ;    ;  ;    0 04 33;A;S ;00;     ;      0,00;  ;    0 04 33;A;T ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00025;2022;     B 0369;    0 00 59;0000 SUZANNE BUISSON               ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;DA   ;    ;  ;    0 00 59;A;S ;00;     ;      0,00;  ;    0 00 59;A;T ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00026;2021;     D 0224;    0 02 68;0024 DU QUATRE SEPTEMBRE           ;SCI ERAY                                     ;REC  ;    ;  ;    0 02 68;A;S ;00;     ;      0,00;  ;    0 02 68;A;AB;01;     ;    178,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00027;2021;     E 0130;    0 43 05;0042 FONTAINE                      ;IMMOBILIERE 3F                               ;DA   ;0085;;;;;;;;  ;    0 43 05;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00028;2021;     E 0131;    0 07 12;0000 FONTAINE                      ;COMMUNE DE BONDY                             ;DA   ;0085;;;;;;;;  ;    0 07 12;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00029;2021;     E 0132;    0 00 33;0000 ARTHUR GROUSSIER              ;IMMOBILIERE 3F                               ;DA   ;    ;;;;;;;;  ;    0 00 33;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00030;2021;     F 0012;    0 03 57;0015 FONTAINE                      ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 03 57;A;AB;01;     ;    238,25;  ;    0 03 57;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00031;2021;     F 0080;    0 14 56;0000 LA MARE ROSSIGNOL             ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 14 56;A;AB;01;     ;    971,67;  ;    0 14 56;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00032;2021;     F 0129;    0 03 64;0017 FONTAINE                      ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 03 64;A;AB;01;     ;    242,92;  ;    0 03 64;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00033;2021;     F 0189;    0 00 15;0014 PROMENADE                     ;YUNUSH/ZADI                                  ;DA   ;    ;;;;;;;;  ;    0 00 15;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00034;2022;     G 0086;    0 02 83;0000 DES MESARMES                  ;TRIBOUT/LUCIE                                ;BRB  ;    ;  ;    0 02 83;A;AB;01;     ;    188,86;  ;    0 02 83;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00035;2022;     H 0142;    0 16 00;0035 LATERAL                       ;SEQUANO AMENAGEMENT                          ;BRB  ;    ;  ;    0 16 00;A;T ;01;     ;      6,22;  ;    0 16 00;A;AB;01;     ;   1067,77;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00036;2022;     H 0378;    0 14 79;0039 D AULNAY                      ;LES COPROPRIETAIRES                          ;BRB  ;    ;  ;    0 14 79;A;AB;01;     ;    987,02;  ;    0 14 79;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00037;2022;     H 0380;    0 02 13;0000 LATERAL                       ;LES COPROPRIETAIRES                          ;BRB  ;    ;  ;    0 02 13;A;AB;01;     ;    142,15;  ;    0 02 13;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00038;2022;     H 0383;    0 27 41;0000 D AULNAY                      ;LES COPROPRIETAIRES DU 21 ROUTE D'AULNAY     ;ILB  ;    ;  ;    0 27 41;A;AB;01;     ;   1829,23;  ;    0 27 41;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00039;2022;     H 0393;    0 04 44;0000 LATERAL                       ;BOUYGUES IMMOBILIER                          ;BRB  ;0095;  ;    0 04 44;A;S ;00;     ;      0,00;  ;    0 04 44;A;AB;01;     ;    296,31;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00040;2022;     H 0411;    0 08 31;0000 DERRIERE LE PARC              ;SEQUANO AMENAGEMENT                          ;DA   ;0133;  ;    0 08 31;A;T ;01;     ;      3,23;  ;    0 08 31;A;AB;01;     ;    554,58;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00041;2022;     H 0412;    0 03 55;0000 DERRIERE LE PARC              ;SEQUANO RESIDENTIEL                          ;DA   ;0133;  ;    0 03 55;A;T ;01;     ;      1,38;  ;    0 03 55;A;AB;01;     ;    236,91;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00042;2022;     H 0413;    0 02 31;0000 DERRIERE LE PARC              ;SEQUANO AMENAGEMENT                          ;DA   ;0133;  ;    0 02 31;A;T ;01;     ;      0,90;  ;    0 02 31;A;AB;01;     ;    154,16;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00043;2022;     H 0414;    0 00 14;0000 DERRIERE LE PARC              ;BONDY TERRASSES DU CANAL                     ;DA   ;0133;  ;    0 00 14;A;T ;01;     ;      0,05;  ;    0 00 14;A;AB;01;     ;      9,34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00044;2022;     H 0415;    0 10 31;0000 DERRIERE LE PARC              ;BOUCHAIB/THOMAS SAMIR SERGUEI                ;DA   ;0134;  ;    0 10 31;A;T ;01;     ;      4,01;  ;    0 10 31;A;AB;01;     ;    688,05;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00045;2022;     H 0416;    0 03 20;0000 DERRIERE LE PARC              ;BOUCHAIB/THOMAS SAMIR SERGUEI                ;DA   ;0134;  ;    0 03 20;A;T ;01;     ;      1,24;  ;    0 03 20;A;AB;01;     ;    213,55;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00046;2022;     H 0417;    0 00 10;0000 DERRIERE LE PARC              ;BOUCHAIB/THOMAS SAMIR SERGUEI                ;DA   ;0134;  ;    0 00 10;A;T ;01;     ;      0,04;  ;    0 00 10;A;AB;01;     ;      6,67;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00047;2022;     K 0123;    0 01 72;0020 MARGUERITE                    ;SOUSA EDIFICIO                               ;ILB  ;    ;  ;    0 01 72;A;AB;01;     ;    114,79;  ;    0 01 72;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00048;2022;     P 0171;    0 01 24;0033 AUGUSTE POLISSARD             ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;DA   ;0095;  ;    0 01 24;A;AB;01;     ;     82,75;  ;    0 01 24;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00049;2022;     P 0176;    0 00 68;0000 GALLIENI                      ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;DA   ;0130;  ;    0 00 68;A;S ;00;     ;      0,00;  ;    0 00 68;A;AB;01;     ;     45,38;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00050;2022;     P 0178;    0 03 49;0033 AUGUSTE POLISSARD             ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;DA   ;0151;  ;    0 03 49;A;AB;01;     ;    232,91;  ;    0 03 49;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00051;2022;     P 0182;    0 01 46;0002 PASTEUR                       ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;DA   ;0152;  ;    0 01 46;A;S ;00;     ;      0,00;  ;    0 01 46;A;AB;01;     ;     97,43;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00052;2022;     P 0192;    0 62 30;0000 GALLIENI                      ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;DA   ;0164;  ;    0 62 30;A;S ;00;     ;      0,00;  ;    0 62 30;A;AB;01;     ;   4157,65;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00053;2022;     S 0167;    0 02 79;0011 ROBERT BONNET                 ;JASINTHAN/NATGUNARAJAH                       ;ILB  ;    ;  ;    0 02 79;A;AB;01;     ;    186,19;  ;    0 02 79;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00054;2022;     S 0213;    0 01 06;0001 DES GAZELLES                  ;SOW/BAKARY                                   ;ILB  ;    ;  ;    0 01 06;A;AB;01;     ;     70,74;  ;    0 01 06;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00055;2021;     S 0215;    0 01 60;0011 DE LA REGALE                  ;ADIB/MOHAMED                                 ;DA   ;    ;  ;    0 01 60;A;S ;00;     ;      0,00;  ;    0 01 60;A;AB;01;     ;    106,78;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00056;2022;     Y 0214;    0 03 82;0170 HENRI BARBUSSE                ;LES COPROPRIETAIRES                          ;BRB  ;    ;  ;    0 03 82;A;AB;01;     ;    254,93;  ;    0 03 82;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00057;2022;     Y 0216;    0 04 09;0170 HENRI BARBUSSE                ;LES COPROPRIETAIRES                          ;BRB  ;    ;  ;    0 04 09;A;AB;01;     ;    272,95;  ;    0 04 09;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00058;2022;     Y 0221;    0 00 58;0004 EUGENE MASSON                 ;LES COPROPRIETAIRES                          ;BRB  ;    ;  ;    0 00 58;A;AB;01;     ;     38,71;  ;    0 00 58;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00059;2022;     Y 0222;    0 04 19;0170 HENRI BARBUSSE                ;LES COPROPRIETAIRES                          ;BRB  ;    ;  ;    0 04 19;A;AB;01;     ;    279,62;  ;    0 04 19;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00060;2021;    AB 0019;    0 02 93;0020 NOEMIE                        ;CHERIF/OUAJDI                                ;ILB  ;    ;  ;    0 02 93;A;S ;00;     ;      0,00;  ;    0 02 93;A;AB;01;     ;    195,54;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00061;2021;    AH 0064;    0 05 28;0010 RULHIERE                      ;CELIK/BIRGUL                                 ;REC  ;    ;  ;    0 05 28;A;S ;00;     ;      0,00;  ;    0 05 28;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00062;2021;    AH 0291;    0 00 91;0000 MICHELET                      ;TARGUI/MOHAMED                               ;DA   ;0253;;;;;;;;  ;    0 00 91;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00063;2021;    AH 0292;    0 00 86;0000 MICHELET                      ;TARGUI/MOHAMED                               ;DA   ;0253;;;;;;;;  ;    0 00 86;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00064;2021;    AH 0293;    0 05 11;0069 DU BREUIL                     ;TOURE/MOHAMED                                ;DA   ;0253;;;;;;;;  ;    0 05 11;A;AB;01;     ;    341,02;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00065;2021;    AI 0197;    0 01 85;0104 ROGER SALENGRO                ;MEDDOURI/FATMA                               ;DA   ;0114;;;;;;;;  ;    0 01 85;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00066;2021;    AI 0198;    0 07 92;0104 ROGER SALENGRO                ;LES COPROPRIETAIRES                          ;DA   ;0114;;;;;;;;  ;    0 07 92;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00067;2021;    AJ 0054;    0 01 20;0022 LOUIS AUGUSTE BLANQUI         ;LES COPROPRIETAIRES DES 20 28 RUE BLANQUI A B;ILB  ;    ;  ;    0 01 20;A;S ;00;     ;      0,00;  ;    0 01 20;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00068;2021;    AJ 0055;    0 01 12;0024 LOUIS AUGUSTE BLANQUI         ;LES COPROPRIETAIRES DES 20 28 RUE BLANQUI A B;ILB  ;    ;  ;    0 01 12;A;S ;00;     ;      0,00;  ;    0 01 12;A;AB;01;     ;     74,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00069;2021;    AJ 0060;    0 02 11;0028 LOUIS AUGUSTE BLANQUI         ;LES COPROPRIETAIRES DES 20 28 RUE BLANQUI A B;ILB  ;    ;  ;    0 02 11;A;S ;00;     ;      0,00;  ;    0 02 11;A;AB;01;     ;    140,81;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00070;2021;    AJ 0061;    0 01 45;0056 CARNOT                        ;LES COPROPRIETAIRES DES 20 28 RUE BLANQUI A B;ILB  ;    ;  ;    0 01 45;A;S ;00;     ;      0,00;  ;    0 01 45;A;AB;01;     ;     96,77;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00071;2021;    AJ 0062;    0 02 17;0060 CARNOT                        ;LES COPROPRIETAIRES DES 20 28 RUE BLANQUI A B;ILB  ;    ;  ;    0 02 17;A;S ;00;     ;      0,00;  ;    0 02 17;A;AB;01;     ;    144,82;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00072;2021;    AJ 0063;    0 02 34;0062 CARNOT                        ;LES COPROPRIETAIRES DES 20 28 RUE BLANQUI A B;ILB  ;    ;  ;    0 02 34;A;S ;00;     ;      0,00;  ;    0 02 34;A;AB;01;     ;    156,16;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00073;2021;    AJ 0155;    0 03 54;0025 EDOUARD VAILLANT              ;LES COPROPRIETAIRES                          ;BRB  ;    ;  ;    0 03 54;A;AB;01;     ;    236,25;  ;    0 03 54;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00074;2021;    AJ 0172;    0 00 88;0058 CARNOT                        ;LES COPROPRIETAIRES DES 20 28 RUE BLANQUI A B;ILB  ;    ;  ;    0 00 88;A;S ;00;     ;      0,00;  ;    0 00 88;A;AB;01;     ;     58,73;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00075;2021;    AJ 0225;    0 05 36;0020 LOUIS AUGUSTE BLANQUI         ;LES COPROPRIETAIRES DES 20 28 RUE BLANQUI A B;ILB  ;    ;  ;    0 05 36;A;S ;00;     ;      0,00;  ;    0 05 36;A;AB;01;     ;    357,70;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00076;2021;    AK 0126;    0 05 61;0055 EDOUARD VAILLANT              ;LES COPROPRIETAIRES                          ;ILB  ;    ;  ;    0 05 61;A;S ;00;     ;      0,00;  ;    0 05 61;A;AB;01;     ;    374,39;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00077;2021;    AK 0127;    0 11 18;0055 EDOUARD VAILLANT              ;LES COPROPRIETAIRES                          ;ILB  ;    ;  ;    0 11 18;A;S ;00;     ;      0,00;  ;    0 11 18;A;AB;01;     ;    746,11;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00078;2021;    AK 0140;    0 13 53;0051 EDOUARD VAILLANT              ;LES COPROPRIETAIRES                          ;ILB  ;    ;A ;    0 11 03;A;AG;01;     ;     39,01;A ;    0 11 03;A;AB;01;     ;    736,10;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
;;;;;;;;Z ;    0 02 50;A;S ;00;     ;      0,00;Z ;    0 02 50;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
00079;2021;    AK 0141;    0 07 34;0053 EDOUARD VAILLANT              ;LES COPROPRIETAIRES                          ;ILB  ;    ;A ;    0 05 14;A;J ;02;     ;      6,18;A ;    0 05 14;A;AB;01;     ;    343,02;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
;;;;;;;;Z ;    0 02 20;A;S ;00;     ;      0,00;Z ;    0 02 20;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
00080;2021;    AM 0056;    0 01 09;0025 FRANCOIS COLLET               ;SELHAOUI/ABDALHAKIM                          ;BRB  ;    ;  ;    0 01 09;A;S ;00;     ;      0,00;  ;    0 01 09;A;AB;01;     ;     72,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00081;2022;    AM 0315;    0 33 87;0000 EDOUARD VAILLANT              ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;DA   ;0311;  ;    0 33 87;A;S ;00;     ;      0,00;  ;    0 33 87;A;AB;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00082;2022;    AM 0316;    0 15 82;0000 EDOUARD VAILLANT              ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;DA   ;0311;  ;    0 15 82;A;S ;00;     ;      0,00;  ;    0 15 82;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00083;2022;    AN 0246;    0 02 44;0165 EDOUARD VAILLANT              ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;BRB  ;0240;  ;    0 02 44;A;S ;00;     ;      0,00;  ;    0 02 44;A;AB;01;     ;    162,84;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00084;2022;    AN 0250;    0 30 05;0000 EDOUARD VAILLANT              ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;BRB  ;0243;  ;    0 30 05;A;S ;00;     ;      0,00;  ;    0 30 05;A;AB;01;     ;   2005,41;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00085;2022;    AN 0252;    0 19 52;0000 EDOUARD VAILLANT              ;BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'E;BRB  ;0244;  ;    0 19 52;A;S ;00;     ;      0,00;  ;    0 19 52;A;AB;01;     ;   1302,68;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00086;2021;    AO 0133;    0 03 29;0007 RACINE                        ;SANTIAGO/MASON REYSOUS FERNANDO              ;ILB  ;    ;  ;    0 03 29;A;S ;00;     ;      0,00;  ;    0 03 29;A;AB;01;     ;    219,56;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00087;2021;    AP 0216;    0 05 11;0242 LOUIS AUGUSTE BLANQUI         ;MONNERAYE/WILLIAM CLAUDE                     ;MOD1 ;    ;  ;    0 05 11;A;AB;01;     ;    341,02;  ;    0 05 11;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
